	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	189	150	160		44	36	20	
영업이익	-100	-99	27		8	4	4	
영업이익(발표기준)	-100	-99	27		8	4	4	
세전계속사업이익	-112	-134	18		24	-40	14	
당기순이익	-122	-143	19		24	-41	18	
당기순이익(지배)	-122	-143	19		24	-41	18	
당기순이익(비지배)	0							
자산총계	178	248	442		392	350	442	
부채총계	43	178	104		31	31	104	
자본총계	135	70	338		361	319	338	
자본총계(지배)	133	68	338		360	319	338	
자본총계(비지배)	2							
자본금	41	45	83		83	83	83	
영업활동현금흐름	-112	-129	20		-40	12	37	
투자활동현금흐름	51	-68	-150		-96	-46	-10	
재무활동현금흐름	88	218	194		72	-1	98	
CAPEX	1	0	2		1	0	0	
FCF	-112	-129	18		-41	11	37	
이자발생부채	2	121	60		10	7	60	
영업이익률	-52.94	-65.78	17.11		18.19	10.35	18.74	
순이익률	-64.80	-95.40	11.75		55.13	-116.35	90.09	
ROE(%)	-81.35	-142.88	9.26		5.64	1.05	9.26	
ROA(%)	-64.42	-67.32	5.43		4.39	0.64	5.43	
부채비율	32.05	254.80	30.76		8.65	9.57	30.76	
자본유보율	261.20	83.18	324.37		350.63	301.34	324.37	
EPS(원)	-335	-325	26		30	-50	22	
PER(배)	N/A	N/A	27.93		33.14	235.34	27.93	
BPS(원)	323	149	406		433	383	406	
PBR(배)	6.37	6.72	1.76		1.74	1.84	1.76	
현금DPS(원)	0	0						
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	41,111,024	45,435,833	83,314,615		83,314,615	83,314,615	83,314,615	
