	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	458	352	439		147	125	62	
영업이익	8	-80	4		17	7	-22	
영업이익(발표기준)	8	-80	4		17	7	-22	
세전계속사업이익	-9	-90	9		18	11	-27	
당기순이익	-4	-110	7		18	11	-30	
당기순이익(지배)	-4	-110	7		18	11	-30	
당기순이익(비지배)	0							
자산총계	506	369	347		444	424	347	
부채총계	148	121	92		171	137	92	
자본총계	358	248	254		273	286	254	
자본총계(지배)	358	248	254		273	287	254	
자본총계(비지배)	0							
자본금	20	20	20		20	20	20	
영업활동현금흐름	25	-53	26		14	23	11	
투자활동현금흐름	-17	-42	17		3	12	1	
재무활동현금흐름	-21	-6	-2		-9	-2	-3	
CAPEX	11	6	1		1	0	0	
FCF	14	-59	25		13	23	10	
이자발생부채	35	30	34		39	38	34	
영업이익률	1.76	-22.82	0.96		11.43	5.40	-34.74	
순이익률	-0.77	-31.23	1.54		12.44	8.66	-47.77	
ROE(%)	-0.94	-36.26	2.67		-12.21	-3.53	2.67	
ROA(%)	-0.65	-25.12	1.88		-8.11	-2.44	1.88	
부채비율	41.50	48.77	36.38		62.77	47.92	36.38	
자본유보율	1,726.66	1,168.37	1,197.45		1,296.03	1,350.22	1,197.45	
EPS(원)	-4	-110	7		18	11	-30	
PER(배)	N/A	N/A	54.35		N/A	N/A	1,039.85	
BPS(원)	358	248	255		273	287	255	
PBR(배)	0.89	0.87	1.43		1.16	0.98	1.43	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	99,841,825	99,841,825	99,841,825		99,841,825	99,841,825	99,841,825	
