	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	752	883	1,288		606	321	118	
영업이익	102	121	145		103	20	3	
영업이익(발표기준)	102	121	145		103	20	3	
세전계속사업이익	105	128	147		104	16	13	
당기순이익	83	99	118		82	15	11	
당기순이익(지배)	83	99	118		82	15	11	
당기순이익(비지배)								
자산총계	339	645	813		962	813	821	
부채총계	79	80	139		303	139	158	
자본총계	260	565	674		659	674	663	
자본총계(지배)	260	565	674		659	674	663	
자본총계(비지배)								
자본금	14	21	42		42	42	42	
영업활동현금흐름	-9	33	262		-132	269	-37	
투자활동현금흐름	-5	-264	52		104	-84	-130	
재무활동현금흐름	-10	202	-10		0	0	0	
CAPEX	5	21	2		0	1	0	
FCF	-14	12	260		-132	268	-38	
이자발생부채	0	0	1		1	1	1	
영업이익률	13.60	13.68	11.24		17.01	6.18	2.52	
순이익률	10.99	11.25	9.16		13.47	4.75	9.19	
ROE(%)	40.14	24.08	19.05		22.73	19.05	22.35	
ROA(%)	27.75	20.17	16.18		17.21	16.18	17.63	
부채비율	30.56	14.23	20.68		45.91	20.68	23.82	
자본유보율	1,580.23	2,480.06	1,446.34		1,410.91	1,446.34	1,442.25	
EPS(원)	1,449	1,200	1,404		971	181	129	
PER(배)		4.87	6.30		5.06	6.30	3.83	
BPS(원)	4,517	6,723	8,019		7,842	8,019	7,886	
PBR(배)	0.00	0.87	1.10		1.04	1.10	0.78	
현금DPS(원)	80	100	150		0	150		
현금배당수익률		1.71	1.70					
현금배당성향(%)	5.57	8.46	10.68		0.00	82.81		
발행주식수(보통주)	5,752,200	8,405,480	8,405,480		8,405,480	8,405,480	8,405,480	
