	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	564	552	637		113	245	172	
영업이익	-69	7	16		5	-1	5	
영업이익(발표기준)	-69	7	16		5	-1	5	
세전계속사업이익	-76	6	19		4	-2	8	
당기순이익	-78	-21	-9		0	-7	13	
당기순이익(지배)	-78	-21	-22		0	-7	12	
당기순이익(비지배)	0							
자산총계	445	436	640		395	466	492	
부채총계	227	179	382		177	249	225	
자본총계	218	257	258		218	217	267	
자본총계(지배)	216	257	229		218	217	240	
자본총계(비지배)	2							
자본금	152	180	180		180	180	180	
영업활동현금흐름	-34	1	3		-51	102	8	
투자활동현금흐름	25	-41	-38		2	-68	8	
재무활동현금흐름	-26	31	-4		8	-35	3	
CAPEX	0	0	3		0		0	
FCF	-34	0	-1		-51	102	8	
이자발생부채	85	41	98		77	42	95	
영업이익률	-12.17	1.27	2.49		4.16	-0.59	3.11	
순이익률	-13.75	-3.89	-1.39		0.39	-2.82	7.65	
ROE(%)	-30.47	-9.03			-18.96	-16.81		
ROA(%)	-15.77	-4.87			-10.32	-8.84		
부채비율	104.48	69.66	148.00		80.98	114.52	84.15	
자본유보율	41.94	42.66	26.97		21.08	20.49	33.73	
EPS(원)	-256	-62	-62		1	-19	34	
PER(배)	N/A	N/A	N/A		N/A	N/A		
BPS(원)	713	715	636		607	604	668	
PBR(배)	1.82	2.48	2.11		1.84	2.23	2.19	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00		
발행주식수(보통주)	30,309,683	35,957,518	35,957,518		35,957,518	35,957,518	35,957,518	
