	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	191	218	308				40	
영업이익	50	56	82				-15	
영업이익(발표기준)	50	56	82				-15	
세전계속사업이익	48	66	88				-10	
당기순이익	46	62	84				-9	
당기순이익(지배)	46	62	84				-9	
당기순이익(비지배)								
자산총계	234	290	657			657	653	
부채총계	38	31	29			29	50	
자본총계	196	259	628			628	603	
자본총계(지배)	196	259	628			628	603	
자본총계(비지배)								
자본금	10	10	52			52	52	
영업활동현금흐름	53	62	47				9	
투자활동현금흐름	-82	-45	-302				-33	
재무활동현금흐름	65	1	286				0	
CAPEX	1	2	1					
FCF	52	60	46			0	9	
이자발생부채	0	0	6			6	5	
영업이익률	26.43	25.89	26.66				-36.97	
순이익률	24.09	28.72	27.41				-23.11	
ROE(%)		27.48	19.03					
ROA(%)		23.86	17.82					
부채비율	19.34	12.03	4.63			4.63	8.32	
자본유보율	1,764.96	2,356.63	1,106.11			1,106.11	1,057.01	
EPS(원)	745	772	986		452		-90	
PER(배)			18.87					
BPS(원)	2,426	3,194	6,090			6,090	5,841	
PBR(배)	0.00	0.00	3.05			3.05	2.65	
현금DPS(원)	0	0	150		0	150		
현금배당수익률			0.81					
현금배당성향(%)	0.00	0.00	18.33					
발행주식수(보통주)	8,094,200	8,094,200	10,308,756		8,094,200	10,308,756	10,328,456	
