	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	524	575	301		83	79	75	
영업이익	1	37	-31		0	6	-43	
영업이익(발표기준)	1	37	-31		0	6	-43	
세전계속사업이익	-142	106	22		100	10	-90	
당기순이익	-366	215	16		100	10	-95	
당기순이익(지배)	-257	142	16		100	10	-95	
당기순이익(비지배)	-109							
자산총계	1,207	774	794		878	878	794	
부채총계	391	105	56		118	68	56	
자본총계	816	669	737		760	810	737	
자본총계(지배)	597	660	737		760	810	737	
자본총계(비지배)	219							
자본금	124	124	131		124	129	131	
영업활동현금흐름	-71	15	-47		-17	-42	-18	
투자활동현금흐름	-88	-162	66		24	18	25	
재무활동현금흐름	193	-12	-22		-20	0	-2	
CAPEX	3	6	1		1	2	-2	
FCF	-74	9	-48		-18	-44	-16	
이자발생부채	45	46	2		48	16	2	
영업이익률	0.23	6.39	-10.29		0.36	8.23	-56.95	
순이익률	-69.88	37.39	5.44		120.90	12.26	-125.67	
ROE(%)	-50.85	22.56	2.34		22.75	23.91	2.34	
ROA(%)	-29.75	21.72	2.09		15.14	14.95	2.09	
부채비율	47.98	15.65	7.66		15.51	8.37	7.66	
자본유보율	478.63	591.70	557.63		609.76	625.92	557.63	
EPS(원)	-1,186	586	67		414	39	-375	
PER(배)	N/A	6.09	75.69		7.23	6.96	75.69	
BPS(원)	2,469	2,730	2,898		3,142	3,240	2,898	
PBR(배)	3.19	1.31	1.74		1.59	1.61	1.74	
현금DPS(원)	0	0			0	0		
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	24,176,133	24,176,133	25,429,284		24,176,133	25,008,414	25,429,284	
