	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	2	0						
영업이익	-38	-69	-101		-15	-31	-32	
영업이익(발표기준)	-38	-69	-101		-15	-31	-32	
세전계속사업이익	-65	-70	-102		75	-162	4	
당기순이익	-65	-70	-102		75	-162	4	
당기순이익(지배)	-65	-70	-102		75	-162	4	
당기순이익(비지배)								
자산총계	75	698	1,613		1,660	1,639	1,613	
부채총계	52	44	936		950	806	936	
자본총계	23	654	678		710	834	678	
자본총계(지배)	23	654	678		710	834	678	
자본총계(비지배)								
자본금	27	34	35		34	35	35	
영업활동현금흐름	-25	-59	-72		-4	-23	-18	
투자활동현금흐름	-18	-334	-742		10	-817	120	
재무활동현금흐름	61	677	971		987	0	-7	
CAPEX	0	8	13		1	8	1	
FCF	-26	-67	-85		-6	-31	-19	
이자발생부채	31	8	546		510	527	546	
영업이익률	-1,837.58	-350,051.85						
순이익률	-3,106.30	-353,205.54						
ROE(%)			-15.25				-15.25	
ROA(%)			-8.79				-8.79	
부채비율	230.01	6.65	138.03		133.79	96.60	138.03	
자본유보율	-37.11	1,797.84	1,860.98		1,959.93	2,312.34	1,860.98	
EPS(원)	-1,284	-1,172	-1,474		1,092	-2,339	63	
PER(배)		N/A	N/A			N/A	N/A	
BPS(원)	422	9,521	9,808		10,333	12,067	9,808	
PBR(배)	0.00	8.40	3.94		4.48	2.94	3.94	
현금DPS(원)	0	0			0	0		
현금배당수익률		0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	5,310,524	6,873,012	6,910,809		6,873,012	6,910,809	6,910,809	
