		2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액			700	3,244			700	678
영업이익			102	428			102	83
영업이익(발표기준)			102				102	
세전계속사업이익			68	366			68	82
당기순이익			45	290			45	
당기순이익(지배)			45	290			45	66
당기순이익(비지배)								
자산총계			4,942	5,529			4,942	
부채총계			3,536	3,919			3,536	
자본총계			1,406	1,610			1,406	
자본총계(지배)			1,406	1,710			1,406	
자본총계(비지배)								
자본금			40	40			40	
영업활동현금흐름			210	596			210	
투자활동현금흐름			-789	-945			-789	
재무활동현금흐름			216	718			216	
CAPEX			770	878			770	
FCF			-560	-162			-560	
이자발생부채			1,925				1,925	
영업이익률			14.54	13.18			14.54	12.24
순이익률			6.42	8.94			6.42	
ROE(%)				18.61				
ROA(%)				5.54				
부채비율			251.41	243.45			251.41	
자본유보율			3,323.57				3,323.57	
EPS(원)			451	732			114	167
PER(배)			45.15	49.50				
BPS(원)			3,551	4,317			3,551	
PBR(배)			5.73	8.40			5.73	
현금DPS(원)				0				
현금배당수익률				0.00				
현금배당성향(%)			0.00				0.00	
발행주식수(보통주)			30,589,758				30,589,758	
