	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,450	1,755	1,684		400	420	433	
영업이익	90	275	212		56	48	27	
영업이익(발표기준)	90	275	212		56	48	27	
세전계속사업이익	65	232	167		43	34	18	
당기순이익	63	223	160		39	30	24	
당기순이익(지배)	63	223	160		39	30	24	
당기순이익(비지배)								
자산총계	2,800	2,977	3,288		2,962	3,047	3,288	
부채총계	1,498	1,438	1,615		1,339	1,393	1,615	
자본총계	1,302	1,539	1,673		1,623	1,653	1,673	
자본총계(지배)	1,302	1,539	1,673		1,623	1,653	1,673	
자본총계(비지배)								
자본금	225	225	225		225	225	225	
영업활동현금흐름	163	351	305		157	110	38	
투자활동현금흐름	-96	-206	-385		-151	-127	-107	
재무활동현금흐름	-75	-75	93		-10	30	72	
CAPEX	94	193	295		93	84	119	
FCF	69	157	10		64	26	-81	
이자발생부채	975	887	1,059		880	912	1,059	
영업이익률	6.24	15.66	12.59		13.88	11.39	6.20	
순이익률	4.37	12.72	9.52		9.67	7.27	5.54	
ROE(%)	5.06	15.71			13.23			
ROA(%)	2.26	7.73			7.05			
부채비율	115.05	93.42	96.51		82.50	84.28	96.51	
자본유보율	195.35	288.29	348.07		325.67	339.18	348.07	
EPS(원)	141	497	357		86	68	53	
PER(배)	18.75	5.01	6.89		6.52			
BPS(원)	3,107	3,583	3,895		3,778	3,849	3,895	
PBR(배)	0.85	0.69	0.63		0.78	0.68	0.63	
현금DPS(원)	25	50	75	60	0	0	75	
현금배당수익률	0.95	2.01	3.05	2.21				
현금배당성향(%)	16.53	9.62	20.10		0.00	0.00	134.43	
발행주식수(보통주)	44,918,407	44,918,407	44,918,407		44,918,407	44,918,407	44,918,407	
