	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,173	1,069	857		245	190	228	
영업이익	27	17	7		11	6	5	
영업이익(발표기준)	27	17	7		11	6	5	
세전계속사업이익	30	18	9		11	7	5	
당기순이익	24	15	6		11	7	3	
당기순이익(지배)	17	11	5		9	5	3	
당기순이익(비지배)	7							
자산총계	833	674	581		658	600	581	
부채총계	521	387	289		377	312	289	
자본총계	312	286	292		281	288	292	
자본총계(지배)	206	220	226		217	222	226	
자본총계(비지배)	106							
자본금	55	55	55		55	55	55	
영업활동현금흐름	56	81	-48		32	-22	-7	
투자활동현금흐름	-22	-73	12		-9	-9	1	
재무활동현금흐름	0	-9	-4		0	-1	-1	
CAPEX	25	25	10		1	4	3	
FCF	31	56	-58		31	-26	-10	
이자발생부채	72	0	12		10	9	12	
영업이익률	2.29	1.56	0.86		4.48	3.40	2.07	
순이익률	2.08	1.44	0.75		4.67	3.54	1.35	
ROE(%)	8.63	5.20	2.44		1.92	1.19	2.44	
ROA(%)	3.00	2.04	1.02		1.01	0.53	1.02	
부채비율	167.05	135.31	99.08		134.16	108.27	99.08	
자본유보율	270.20	295.26	306.93		289.91	299.75	306.93	
EPS(원)	156	101	50		81	49	27	
PER(배)	39.24	54.51	103.67		135.07	182.17	103.67	
BPS(원)	1,883	2,011	2,067		1,984	2,033	2,067	
PBR(배)	3.25	2.74	2.49		2.57	2.15	2.49	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	10,920,000	10,920,000	10,920,000		10,920,000	10,920,000	10,920,000	
