	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	130	236	464	862	89	94	205	111
영업이익	25	50	66	129	24	9	16	10
영업이익(발표기준)	25	50	66		24	9	16	
세전계속사업이익	5	49	71	126	25	12	17	
당기순이익	5	47	65	106	22	10	18	8
당기순이익(지배)	5	47	56	94	22	9	9	
당기순이익(비지배)								
자산총계	168	593	1,092	1,018	658	826	1,092	
부채총계	111	151	387	325	163	270	387	
자본총계	56	441	705	694	495	556	705	
자본총계(지배)	56	441	567	638	495	505	567	
자본총계(비지배)								
자본금	3	44	48	72	46	46	48	
영업활동현금흐름	-3	42	4	101	6	-6	5	
투자활동현금흐름	-25	-211	-272	-84	-74	40	-96	
재무활동현금흐름	90	365	146	51	14	28	104	
CAPEX	18	218	36	22	3	2	3	
FCF	-21	-175	-32	50	4	-8	3	
이자발생부채	97	125	258		127	148	258	
영업이익률	19.09	21.22	14.29	14.99	27.01	9.11	7.76	9.01
순이익률	3.84	19.73	14.03	12.35	24.99	10.22	8.71	7.21
ROE(%)	18.52	18.75		15.64				
ROA(%)	4.60	12.27		10.09				
부채비율	197.57	34.34	54.98	46.83	32.99	48.62	54.98	
자본유보율	1,994.93	901.80	1,082.08		971.08	991.67	1,082.08	
EPS(원)	46	264	212	317	85	35	33	
PER(배)		12.22	76.29	16.01			76.29	
BPS(원)	398	1,714	2,026	2,140	1,835	1,873	2,026	
PBR(배)	0.00	1.88	2.66	2.37	3.47	3.03	2.66	
현금DPS(원)	0	0	0	0	0	0	0	
현금배당수익률		0.00	0.00	0.00				
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	14,172,835	25,735,249	27,998,967		26,950,475	26,950,475	27,998,967	
