	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	375	353	349					
영업이익	71	36	26					
영업이익(발표기준)	71	36	26					
세전계속사업이익	54	21	16					
당기순이익	86	22	18					
당기순이익(지배)	86	22	18					
당기순이익(비지배)								
자산총계	570	658	756				755	
부채총계	329	395	477				476	
자본총계	241	263	279				279	
자본총계(지배)	241	263	279				279	
자본총계(비지배)								
자본금	66	66	66				66	
영업활동현금흐름	79	23	-2					
투자활동현금흐름	-57	-104	-58					
재무활동현금흐름	-13	57	72					
CAPEX	56	101	56					
FCF	23	-78	-58				0	
이자발생부채	265	321	399				399	
영업이익률	18.98	10.14	7.32					
순이익률	22.89	6.14	5.05					
ROE(%)	43.39	8.60	6.49					
ROA(%)	16.25	3.53	2.49					
부채비율	136.40	149.96	170.71				170.67	
자본유보율	267.83	301.55	326.00				325.54	
EPS(원)	132	33	27					
PER(배)								
BPS(원)	371	405	430				429	
PBR(배)								
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00					
발행주식수(보통주)	64,970,548	64,970,548	64,970,548		64,970,548	64,970,548	64,970,548	
