	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	2,837	2,863	2,996		645	611	947	
영업이익	139	179	202		44	14	83	
영업이익(발표기준)	139	179	202		44	14	83	
세전계속사업이익	152	187	212		49	19	84	
당기순이익	125	150	166		39	15	65	
당기순이익(지배)	125	150	166		39	15	65	
당기순이익(비지배)								
자산총계	2,469	2,590	2,637		2,502	2,619	2,637	
부채총계	739	733	645		595	702	645	
자본총계	1,730	1,856	1,992		1,907	1,917	1,992	
자본총계(지배)	1,730	1,856	1,992		1,907	1,917	1,992	
자본총계(비지배)								
자본금	269	269	269		269	269	269	
영업활동현금흐름	-24	169	89		91	-55	9	
투자활동현금흐름	-46	-177	43		-44	91	-34	
재무활동현금흐름	-22	-22	-49		-6	-3	-4	
CAPEX	46	44	48		7	20	13	
FCF	-70	125	41		84	-75	-4	
이자발생부채	0	0	20		15	14	20	
영업이익률	4.89	6.25	6.76		6.78	2.37	8.74	
순이익률	4.40	5.22	5.55		5.99	2.38	6.90	
ROE(%)	7.44	8.34	8.65		8.72	8.88	8.65	
ROA(%)	5.03	5.92	6.37		6.65	6.43	6.37	
부채비율	42.73	39.50	32.40		31.19	36.63	32.40	
자본유보율	546.88	589.97	639.49		607.23	611.77	639.49	
EPS(원)	276	331	376		87	33	148	
PER(배)	9.85	6.96	6.64		7.09	6.45	6.64	
BPS(원)	3,906	4,192	4,498		4,306	4,328	4,498	
PBR(배)	0.70	0.55	0.55		0.59	0.55	0.55	
현금DPS(원)	50	80	100		0	0	100	
현금배당수익률	1.84	3.47	4.01					
현금배당성향(%)	17.74	23.68	26.61		0.00	0.00	67.77	
발행주식수(보통주)	45,282,310	44,282,310	44,282,310		44,282,310	44,282,310	44,282,310	
