	2017/03	2018/03	2019/03	2020/03	2019/06	2019/09	2019/12	2020/03
매출액	265	315	358		75	49	52	
영업이익	-24	3	17		8	-2	5	
영업이익(발표기준)	-24	3	17		8	-2	5	
세전계속사업이익	-90	-13	14		8	-3	3	
당기순이익	-88	-14	14		8	-3	3	
당기순이익(지배)	-88	-14	14		8	-3	3	
당기순이익(비지배)								
자산총계	537	495	533		528	516	523	
부채총계	245	188	190		176	167	171	
자본총계	292	308	344		352	349	352	
자본총계(지배)	292	308	344		352	349	352	
자본총계(비지배)								
자본금	210	218	224		224	224	224	
영업활동현금흐름	-29	46	29		14	17	-12	
투자활동현금흐름	-1	-9	0		-2	2	-5	
재무활동현금흐름	38	-22	7		-4	-10	-2	
CAPEX	8	10	3		2	5	8	
FCF	-36	36	25		13	12	-20	
이자발생부채	195	153	130		129	120	118	
영업이익률	-9.14	1.06	4.65		11.37	-3.47	9.86	
순이익률	-33.24	-4.54	3.95		10.60	-5.76	6.51	
ROE(%)	-27.61	-4.78	4.33		10.14	10.80	7.97	
ROA(%)	-15.80	-2.77	2.74		6.68	7.05	4.94	
부채비율	84.06	61.03	55.16		50.09	48.03	48.67	
자본유보율	40.00	41.27	54.46		57.96	56.70	58.20	
EPS(원)	-210	-34	32		18	-6	8	
PER(배)	N/A	N/A	75.14		34.87	45.81	46.98	
BPS(원)	695	704	768		785	779	786	
PBR(배)	3.53	3.15	3.11		3.37	4.69	3.59	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00			0.00	0.00		
발행주식수(보통주)	41,974,138	43,666,242	44,772,143		44,772,143	44,772,143	44,772,143	
