	2016/12	2017/12	2018/12	2019/12	2019/03	2019/06	2019/09	2019/12
매출액	403	477	482		108	109	134	
영업이익	233	275	279		61	62	77	
영업이익(발표기준)	233	275	279		61	62	77	
세전계속사업이익	241	280	308		57	58	84	
당기순이익	199	237	265		48	49	73	
당기순이익(지배)	199	237	265		48	49	73	
당기순이익(비지배)								
자산총계	535	1,201	1,405		1,489	1,600	1,693	
부채총계	107	110	85		71	101	118	
자본총계	429	1,091	1,321		1,418	1,499	1,575	
자본총계(지배)	429	1,091	1,321		1,418	1,499	1,575	
자본총계(비지배)								
자본금	62	550	547		567	565	566	
영업활동현금흐름	163	266	257		47	65	93	
투자활동현금흐름	-12	-138	-117		-25	0	-79	
재무활동현금흐름	-11	471	-19		-17	-1	8	
CAPEX	12	131	14		2	1	79	
FCF	150	135	244		45	64	14	
이자발생부채	57	52	55		40	43	51	
영업이익률	57.80	57.64	57.74		56.65	56.65	57.27	
순이익률	49.38	49.64	54.83		44.65	44.65	54.05	
ROE(%)	67.16	31.18	21.94		21.10	15.02	15.10	
ROA(%)	46.07	27.28	20.30		19.61	13.98	14.04	
부채비율	24.94	10.10	6.42		5.00	6.74	7.48	
자본유보율	590.59	98.31	141.35		149.94	165.30	178.08	
EPS(원)	1,145	517	490		89	90	135	
PER(배)		6.14	3.45		3.93	4.69	4.91	
BPS(원)	1,071	2,020	2,446		2,626	2,776	2,917	
PBR(배)	0.00	1.57	0.69		0.75	0.65	0.67	
현금DPS(원)	0	89						
현금배당수익률		2.79						
현금배당성향(%)	0.00	20.18	0.00		0.00	0.00	0.00	
발행주식수(보통주)	40,000,000	54,000,000	54,000,000		54,000,000	54,000,000	54,000,000	
