		2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액			0				0	
영업이익			-2				0	
영업이익(발표기준)			-2				0	
세전계속사업이익			-2				0	
당기순이익			-1				0	
당기순이익(지배)			-1				0	
당기순이익(비지배)								
자산총계			98				98	
부채총계			7				7	
자본총계			91				91	
자본총계(지배)			91				91	
자본총계(비지배)								
자본금			5				5	
영업활동현금흐름			-2				0	
투자활동현금흐름			-80				0	
재무활동현금흐름			100				0	
CAPEX								
FCF								
이자발생부채			7				7	
영업이익률								
순이익률								
ROE(%)								
ROA(%)								
부채비율			8.06				8.06	
자본유보율			1,716.25				1,716.25	
EPS(원)			-119					
PER(배)			N/A					
BPS(원)			1,816				1,816	
PBR(배)			1.11				1.11	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)								
발행주식수(보통주)			5,010,000			1,010,000	5,010,000	
