	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,590	1,478	1,692		338	397	655	
영업이익	23	25	18		3	8	3	
영업이익(발표기준)	23	25	18		3	8	3	
세전계속사업이익	-14	47	12		3	6	-1	
당기순이익	-28	42	8		1	5	-2	
당기순이익(지배)	-28	42	8		1	5	-2	
당기순이익(비지배)	0							
자산총계	700	779	911		741	808	911	
부채총계	352	393	523		357	418	523	
자본총계	349	386	388		384	390	388	
자본총계(지배)	348	385	387		383	388	387	
자본총계(비지배)	1							
자본금	161	161	161		161	161	161	
영업활동현금흐름	-42	83	-70		-75	-68	64	
투자활동현금흐름	-4	-9	-5		2	-1	-1	
재무활동현금흐름	12	-24	19		-10	74	-53	
CAPEX	0	3	1		0		1	
FCF	-42	80	-71		-75	-68	63	
이자발생부채	86	64	89		68	142	89	
영업이익률	1.46	1.69	1.04		0.80	1.90	0.49	
순이익률	-1.73	2.85	0.47		0.24	1.29	-0.30	
ROE(%)	-7.69	11.51	2.08		12.58	12.34	2.08	
ROA(%)	-3.70	5.70	0.94		6.73	6.26	0.94	
부채비율	100.91	101.95	135.08		92.75	107.41	135.08	
자본유보율	105.99	133.26	138.25		136.09	139.30	138.25	
EPS(원)	-87	131	25		3	16	-5	
PER(배)	N/A	12.99	69.99		11.72	10.82	69.99	
BPS(원)	1,079	1,195	1,213		1,203	1,219	1,213	
PBR(배)	1.95	1.42	1.44		1.38	1.25	1.44	
현금DPS(원)	0	0			0	0		
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	32,209,292	32,209,292	32,209,292		32,209,292	32,209,292	32,209,292	
