	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	166	144	135		31	33	35	
영업이익	15	7	0		-2	-2	1	
영업이익(발표기준)	15	7	0		-2	-2	1	
세전계속사업이익	-16	-36	-90		-5	-29	-30	
당기순이익	-9	-23	-138		2	-29	-85	
당기순이익(지배)	-9	-23	-138		2	-29	-85	
당기순이익(비지배)								
자산총계	951	1,114	1,022		1,099	1,046	1,022	
부채총계	262	357	139		274	251	139	
자본총계	689	758	883		824	795	883	
자본총계(지배)	689	758	883		824	795	883	
자본총계(비지배)								
자본금	263	295	391		324	324	391	
영업활동현금흐름	33	17	17		7	-1	6	
투자활동현금흐름	-16	-155	-369		-7	-300	-90	
재무활동현금흐름	223	209	-42		-10	-30	-1	
CAPEX	3	4	3		1	1	0	
FCF	30	13	14		6	-2	6	
이자발생부채	150	267	82		214	194	82	
영업이익률	8.92	4.98	-0.07		-5.22	-5.20	3.77	
순이익률	-5.16	-16.22	-102.11		7.35	-87.24	-239.25	
ROE(%)	-1.29	-3.23	-16.79		-0.18	-0.96	-16.79	
ROA(%)	-1.04	-2.26	-12.89		-0.11	-0.60	-12.89	
부채비율	38.04	47.07	15.78		33.31	31.57	15.78	
자본유보율	165.56	161.15	125.06		158.30	149.32	125.06	
EPS(원)	-33	-88	-416		7	-90	-235	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	2,739	2,670	2,323		2,636	2,542	2,323	
PBR(배)	1.21	0.95	0.92		0.95	0.74	0.92	
현금DPS(원)	0	0			0	0		
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	26,254,825	29,471,648	39,116,090		32,361,201	32,361,201	39,116,090	
