	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	580	626	534		131	140	143	
영업이익	30	21	-10		-3	-8	1	
영업이익(발표기준)	30	21	-10		-3	-8	1	
세전계속사업이익	19	9	-24		-5	-16	-4	
당기순이익	29	12	-25		-5	-16	-4	
당기순이익(지배)	29	12	-25		-5	-16	-4	
당기순이익(비지배)								
자산총계	677	708	775		742	775	804	
부채총계	295	315	405		358	405	438	
자본총계	381	393	369		385	369	366	
자본총계(지배)	381	393	369		385	369	366	
자본총계(비지배)								
자본금	238	238	238		238	238	238	
영업활동현금흐름	64	6	24		6	10	-8	
투자활동현금흐름	-61	-32	-79		-12	-11	-15	
재무활동현금흐름	-16	17	42		4	3	20	
CAPEX	49	21	64		9	7	12	
FCF	15	-16	-41		-3	3	-20	
이자발생부채	178	176	226		224	226	248	
영업이익률	5.14	3.39	-1.86		-2.54	-5.79	0.70	
순이익률	5.01	1.84	-4.64		-4.03	-11.47	-2.53	
ROE(%)	7.91	2.98	-6.50		-2.88	-6.50	-8.39	
ROA(%)	4.33	1.69	-3.34		-1.52	-3.34	-4.20	
부채비율	77.48	80.20	109.78		92.92	109.78	119.63	
자본유보율	33.84	38.65	28.57		35.00	28.57	27.04	
EPS(원)	61	24	-52		-11	-34	-8	
PER(배)	43.49	86.44	N/A		N/A	N/A	N/A	
BPS(원)	800	825	775		808	775	768	
PBR(배)	3.32	2.54	2.71		3.19	2.71	2.38	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)	0.00	0.00			0.00			
발행주식수(보통주)	47,646,375	47,646,375	47,646,375		47,646,375	47,646,375	47,646,375	
