	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,178	1,175	1,198		308	294	306	
영업이익	-63	27	64		46	-10	17	
영업이익(발표기준)	-63	27	64		46	-10	17	
세전계속사업이익	-150	38	70		57	3	2	
당기순이익	-163	26	58		53	2	-3	
당기순이익(지배)	-163	26	58		53	2	-3	
당기순이익(비지배)								
자산총계	1,292	1,346	1,331		1,366	1,308	1,331	
부채총계	1,081	980	912		941	885	912	
자본총계	211	367	419		425	423	419	
자본총계(지배)	211	367	419		425	423	419	
자본총계(비지배)								
자본금	31	64	64		64	64	64	
영업활동현금흐름	-59	77	85		12	32	50	
투자활동현금흐름	-63	-30	-8		-1	-3	0	
재무활동현금흐름	111	30	-78		-21	-23	8	
CAPEX	69	44	7		1	3	-1	
FCF	-128	32	78		11	29	51	
이자발생부채	799	703	639		649	628	639	
영업이익률	-5.37	2.34	5.37		14.82	-3.36	5.53	
순이익률	-13.87	2.19	4.82		17.19	0.83	-0.84	
ROE(%)	-57.87	8.92	14.69		20.22	17.24	14.69	
ROA(%)	-12.34	1.95	4.31		5.81	5.14	4.31	
부채비율	512.30	267.22	217.50		221.12	209.29	217.50	
자본유보율	578.75	475.02	565.32		565.16	568.94	565.32	
EPS(원)	-2,066	246	450		412	19	-20	
PER(배)	N/A	6.70	3.64		2.87	3.52	3.64	
BPS(원)	2,722	2,891	3,306		3,354	3,333	3,306	
PBR(배)	0.96	0.57	0.49		0.52	0.56	0.49	
현금DPS(원)	0							
현금배당수익률	0.00							
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	7,904,249	12,832,968	12,832,968		12,832,968	12,832,968	12,832,968	
