	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	1,011	1,048	1,252		310	354	342	
영업이익	133	57	65		9	27	21	
영업이익(발표기준)	133	57	65		9	27	21	
세전계속사업이익	132	53	182		10	145	19	
당기순이익	109	46	151		8	119	14	
당기순이익(지배)	109	46	151		8	119	14	
당기순이익(비지배)								
자산총계	756	1,043	1,327		1,117	1,327	1,348	
부채총계	378	322	471		383	471	487	
자본총계	377	721	857		733	857	861	
자본총계(지배)	377	721	857		733	857	861	
자본총계(비지배)								
자본금	38	48	48		48	48	48	
영업활동현금흐름	95	-8	101		18	25	15	
투자활동현금흐름	-18	-322	-112		-13	-63	-2	
재무활동현금흐름	-28	278	67		-24	77	-3	
CAPEX	8	50	84		31	18	12	
FCF	87	-58	18		-13	7	3	
이자발생부채	150	126	228		152	228	227	
영업이익률	13.18	5.42	5.16		2.80	7.68	6.18	
순이익률	10.82	4.36	12.06		2.50	33.70	4.23	
ROE(%)	36.61	8.31	19.14		4.97	19.14	17.83	
ROA(%)	15.53	5.08	12.74		3.31	12.74	11.65	
부채비율	100.28	44.64	54.96		52.26	54.96	56.50	
자본유보율	910.10	1,416.56	1,740.33		1,482.67	1,740.33	1,750.78	
EPS(원)	1,462	486	1,572		81	1,242	150	
PER(배)		39.72	10.68		38.25	10.68	10.44	
BPS(원)	4,952	7,527	9,082		7,776	9,082	9,135	
PBR(배)	0.00	2.56	1.85		1.85	1.85	1.70	
현금DPS(원)	0	0	100		0	100		
현금배당수익률		0.00	0.60					
현금배당성향(%)	0.00	0.00	6.25		0.00	7.91		
발행주식수(보통주)	7,622,806	9,604,000	9,604,000		9,604,000	9,604,000	9,604,000	
