	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	139	140	137		34	34	34	
영업이익	-16	-7	-12		-1	-3	-4	
영업이익(발표기준)	-16	-7	-12		-1	-3	-4	
세전계속사업이익	-16	-6	-7		0	-2	-3	
당기순이익	-16	-6	-7		0	-2	-3	
당기순이익(지배)	-16	-6	-7		0	-2	-3	
당기순이익(비지배)								
자산총계	198	426	417		431	419	417	
부채총계	71	72	61		70	59	61	
자본총계	128	354	356		361	359	356	
자본총계(지배)	128	354	356		361	359	356	
자본총계(비지배)								
자본금	59	71	72		72	72	72	
영업활동현금흐름	3	12	4		2	-1	6	
투자활동현금흐름	-7	-3	-60		-4	-2	-51	
재무활동현금흐름	-4	220	-6		3	-8	-1	
CAPEX	7	2	6		4	1	0	
FCF	-4	10	-2		-2	-3	5	
이자발생부채	48	44	36		44	37	36	
영업이익률	-11.77	-4.99	-8.72		-4.07	-9.80	-11.96	
순이익률	-11.31	-4.33	-4.80		0.14	-5.21	-9.17	
ROE(%)	-11.92	-2.51	-1.85				-1.85	
ROA(%)	-7.75	-1.93	-1.55				-1.55	
부채비율	55.17	20.30	17.16		19.30	16.55	17.16	
자본유보율	94.36	366.89	363.36		370.40	367.94	363.36	
EPS(원)	-132	-48	-46		0	-12	-22	
PER(배)		N/A	N/A				N/A	
BPS(원)	1,080	2,493	2,477		2,512	2,500	2,477	
PBR(배)	0.00	3.69	3.65		4.28	3.90	3.65	
현금DPS(원)	0	0						
현금배당수익률		0.00						
현금배당성향(%)	0.00	0.00			0.00	0.00		
발행주식수(보통주)	11,839,081	14,217,258	14,377,758		14,377,758	14,377,758	14,377,758	
