	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	871	657	524		145	118	101	
영업이익	47	28	10		11	-1	-11	
영업이익(발표기준)	47	28	10		11	-1	-11	
세전계속사업이익	12	24	2		8	-2	-16	
당기순이익	12	24	-14		8	-2	-31	
당기순이익(지배)	12	24	-14		8	-2	-31	
당기순이익(비지배)								
자산총계	738	667	783		705	665	783	
부채총계	403	317	321		341	300	321	
자본총계	335	350	462		364	365	462	
자본총계(지배)	335	350	462		364	365	462	
자본총계(비지배)								
자본금	87	87	104		87	87	104	
영업활동현금흐름	111	87	36		23	0	-3	
투자활동현금흐름	0	-41	-181		-20	-14	-138	
재무활동현금흐름	-67	-3	116		-1	-7	129	
CAPEX	22	36	60		21	16	14	
FCF	89	51	-24		3	-16	-17	
이자발생부채	213	213	208		216	209	208	
영업이익률	5.42	4.22	1.88		7.54	-0.74	-10.84	
순이익률	1.34	3.63	-2.63		5.59	-1.81	-31.04	
ROE(%)	3.59	6.97	-3.40		7.79	2.97	-3.76	
ROA(%)	1.62	3.40	-1.90		4.04	1.59	-2.10	
부채비율	120.46	90.69	69.58		93.59	82.01	69.58	
자본유보율	150.35	167.19	235.78		182.33	181.49	235.78	
EPS(원)	69	137	-77		47	-12	-163	
PER(배)	29.83	19.45	N/A		22.25	72.02	N/A	
BPS(원)	2,075	2,168	2,355		2,260	2,267	2,355	
PBR(배)	0.99	1.23	1.92		1.57	1.97	1.92	
현금DPS(원)	25	30	0		0	0	0	
현금배당수익률	1.22	1.12	0.00					
현금배당성향(%)	34.51	20.29	0.00		0.00	0.00	0.00	
발행주식수(보통주)	17,366,763	17,366,763	20,839,763		17,366,763	17,366,763	20,839,763	
