	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	2,083	3,604	3,779		980	913	907	
영업이익	218	400	466		150	126	83	
영업이익(발표기준)	218	400	466		150	126	83	
세전계속사업이익	204	447	492		170	142	60	
당기순이익	172	360	396		144	115	44	
당기순이익(지배)	172	360	396		144	115	44	
당기순이익(비지배)								
자산총계	2,202	2,767	3,119		2,950	2,997	3,119	
부채총계	349	563	625		542	500	625	
자본총계	1,853	2,203	2,493		2,408	2,498	2,493	
자본총계(지배)	1,853	2,203	2,493		2,408	2,498	2,493	
자본총계(비지배)								
자본금	26	26	26		26	26	26	
영업활동현금흐름	330	215	689		132	231	206	
투자활동현금흐름	-221	-397	-165		-118	43	-10	
재무활동현금흐름	11	103	-74		31	-26	-16	
CAPEX	171	266	194		42	57	41	
FCF	159	-51	495		90	173	164	
이자발생부채	16	121	166		123	124	166	
영업이익률	10.47	11.11	12.33		15.32	13.74	9.13	
순이익률	8.25	9.98	10.47		14.66	12.64	4.86	
ROE(%)		17.74						
ROA(%)		14.48						
부채비율	18.86	25.56	25.09		22.50	20.00	25.09	
자본유보율	7,054.25	8,340.39	9,530.42		9,041.95	9,380.01	9,530.42	
EPS(원)	4,947	6,930	7,542		2,748	2,191	837	
PER(배)	11.81	9.32	9.57				9.57	
BPS(원)	35,770	42,201	47,872		45,713	47,410	47,872	
PBR(배)	1.63	1.53	1.51		1.68	1.47	1.51	
현금DPS(원)	500	1,200	1,700		500	0	1,200	
현금배당수익률	0.86	1.86	2.35					
현금배당성향(%)	15.06	17.42	22.63		18.34	0.00	143.37	
발행주식수(보통주)	5,179,111	5,221,276	5,267,891		5,267,891	5,267,891	5,267,891	
