		2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액			1,546		507	455	584	
영업이익			169		36	56	77	
영업이익(발표기준)			169		36	56	77	
세전계속사업이익			192		53	79	60	
당기순이익			150		42	63	45	
당기순이익(지배)			150		42	63	45	
당기순이익(비지배)								
자산총계			2,239		2,118	2,087	2,239	
부채총계			367		351	253	367	
자본총계			1,873		1,767	1,834	1,873	
자본총계(지배)			1,873		1,767	1,834	1,873	
자본총계(비지배)								
자본금			74		74	74	74	
영업활동현금흐름			177		142	-9	44	
투자활동현금흐름			24		-5	-76	105	
재무활동현금흐름			-9		-1	19	-27	
CAPEX			49		2	36	10	
FCF			128		140	-46	34	
이자발생부채			28		10	9	28	
영업이익률			10.93		7.13	12.37	13.11	
순이익률			9.68		8.24	13.84	7.70	
ROE(%)								
ROA(%)								
부채비율			19.59		19.88	13.82	19.59	
자본유보율			2,534.08		2,382.54	2,467.77	2,534.08	
EPS(원)			1,346		283	426	305	
PER(배)			17.54					
BPS(원)			13,228		12,484	12,956	13,228	
PBR(배)			1.78		1.35	1.35	1.78	
현금DPS(원)			300		0	0	300	
현금배당수익률			1.72				1.27	
현금배당성향(%)			28.37		0.00	0.00	94.34	
발행주식수(보통주)			14,765,020		14,765,020	14,765,020	14,765,020	
