	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	731	819	737		157	177	141	
영업이익	17	22	-9		-5	-5	-1	
영업이익(발표기준)	17	22	-9		-5	-5	-1	
세전계속사업이익	2	-4	-3		-9	6	-2	
당기순이익	1	-5	-3		-9	6	-2	
당기순이익(지배)	0	-7	5		-6	9	0	
당기순이익(비지배)	1							
자산총계	916	1,083	1,161		1,130	1,161	1,198	
부채총계	467	488	541		509	541	563	
자본총계	449	595	620		621	620	635	
자본총계(지배)	356	467	504		497	504	517	
자본총계(비지배)	93							
자본금	39	119	129		129	129	129	
영업활동현금흐름	-15	38	37		-15	44	52	
투자활동현금흐름	-53	-128	-54		7	-2	-15	
재무활동현금흐름	84	120	38		-24	6	-28	
CAPEX	45	76	52		8	11	17	
FCF	-60	-38	-15		-23	33	36	
이자발생부채	308	278	362		327	362	358	
영업이익률	2.27	2.68	-1.18		-3.25	-2.88	-0.95	
순이익률	0.12	-0.57	-0.41		-5.97	3.57	-1.72	
ROE(%)	-0.15	-1.80	0.95		-3.87	0.95	1.54	
ROA(%)	0.10	-0.47	-0.27		-2.20	-0.27	-0.21	
부채비율	103.94	82.06	87.26		82.07	87.26	88.67	
자본유보율	831.70	302.58	298.40		291.54	298.40	298.78	
EPS(원)	-3	-36	18		-23	37	2	
PER(배)	N/A	N/A	111.77		N/A	111.77	38.17	
BPS(원)	1,939	1,956	1,967		1,940	1,967	2,019	
PBR(배)	1.15	0.98	1.03		1.04	1.03	0.57	
현금DPS(원)	0	20			0			
현금배당수익률	0.00	1.04						
현금배당성향(%)	0.00	-64.31	0.00		0.00	0.00		
발행주식수(보통주)	18,384,327	23,851,615	25,797,855		25,797,855	25,797,855	25,797,855	
