	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	138	72	91		19	24	28	
영업이익	71	29	37		8	5	11	
영업이익(발표기준)	71	29	37		8	5	11	
세전계속사업이익	72	30	38		8	5	11	
당기순이익	55	22	29		5	6	6	
당기순이익(지배)	55	22	29		5	6	6	
당기순이익(비지배)								
자산총계	513	694	742		707	711	723	
부채총계	13	8	19		17	14	19	
자본총계	500	686	723		690	697	704	
자본총계(지배)	500	686	704		690	697	704	
자본총계(비지배)								
자본금	375	474	474		474	474	474	
영업활동현금흐름	-20	-24	57		-118	9	55	
투자활동현금흐름	55	-75	22		21	24	-43	
재무활동현금흐름	-19	162	-17		-1		-2	
CAPEX								
FCF								
이자발생부채	0	0	0		0	0	0	
영업이익률	51.83	40.62	41.36		41.88	20.42	39.01	
순이익률	40.07	30.91	32.52		26.15	26.37	23.42	
ROE(%)	11.46	3.77				3.13	4.24	
ROA(%)	11.26	3.70				3.09	4.15	
부채비율	2.67	1.19	2.66		2.49	1.99	2.73	
자본유보율	33.16	45.07	52.88		45.90	47.37	48.88	
EPS(원)	734	277	311		53	66	68	
PER(배)		15.03	14.73		25.27	18.89	14.73	
BPS(원)	6,658	7,262	7,453		7,304	7,377	7,453	
PBR(배)	0.00	0.57	0.61		0.65	0.59	0.61	
현금DPS(원)	0	150	150		0	0	150	
현금배당수익률		3.60	3.28					
현금배당성향(%)	0.00	63.38	48.13		0.00	0.00	219.71	
발행주식수(보통주)	7,505,000	9,480,000	9,480,000		9,480,000	9,480,000	9,480,000	
