	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,685	1,820	3,006		500	603	1,342	
영업이익	35	37	85		0	4	79	
영업이익(발표기준)	35	37	85		0	4	79	
세전계속사업이익	93	27	11		0	-5	6	
당기순이익	69	22	7		-1	-5	10	
당기순이익(지배)	67	42	19		-1	-4	9	
당기순이익(비지배)	2							
자산총계	1,803	2,195	3,320		2,460	2,743	3,320	
부채총계	1,026	1,417	2,558		1,692	1,982	2,558	
자본총계	777	777	762		768	761	762	
자본총계(지배)	762	780	755		760	755	755	
자본총계(비지배)	15							
자본금	65	65	65		65	65	65	
영업활동현금흐름	30	-68	503		-127	31	507	
투자활동현금흐름	-16	-63	-59		-38	-12	18	
재무활동현금흐름	-9	113	-93		132	37	-209	
CAPEX	20	5	13		4	3	2	
FCF	10	-73	491		-131	28	505	
이자발생부채	45	136	213		273	328	213	
영업이익률	2.05	2.05	2.83		0.00	0.70	5.89	
순이익률	4.09	1.21	0.22		-0.25	-0.88	0.72	
ROE(%)	9.26	5.41	2.52		7.07	6.87	2.52	
ROA(%)	4.13	1.10	0.25		1.35	1.48	0.25	
부채비율	132.00	182.36	335.56		220.30	260.31	335.56	
자본유보율	1,071.92	1,088.54	1,047.79		1,059.85	1,053.38	1,047.79	
EPS(원)	517	320	149		-10	-32	68	
PER(배)	9.26	13.29	46.11		16.24	17.15	46.11	
BPS(원)	5,861	5,996	5,805		5,848	5,804	5,805	
PBR(배)	0.82	0.71	1.18		1.14	1.17	1.18	
현금DPS(원)	100	80	30		0	0	30	
현금배당수익률	2.09	1.88	0.44					
현금배당성향(%)	19.33	24.97	20.20		0.00	0.00	44.21	
발행주식수(보통주)	13,000,000	13,000,000	13,000,000		13,000,000	13,000,000	13,000,000	
