	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,226	1,169	1,286		340	363	301	
영업이익	72	28	52		13	28	-1	
영업이익(발표기준)	72	28	52		13	28	-1	
세전계속사업이익	60	43	58		4	19	22	
당기순이익	68	45	54		4	19	19	
당기순이익(지배)	68	45	54		4	19	19	
당기순이익(비지배)								
자산총계	531	825	1,063		1,028	1,118	1,063	
부채총계	214	351	532		535	608	532	
자본총계	317	474	531		493	510	531	
자본총계(지배)	317	474	531		493	510	531	
자본총계(비지배)								
자본금	101	120	120		120	120	120	
영업활동현금흐름	25	27	40		39	-6	13	
투자활동현금흐름	-18	-48	-439		-326	-16	-63	
재무활동현금흐름	-13	265	147		98	50	0	
CAPEX	9	8	19		3	9	5	
FCF	16	19	21		36	-15	8	
이자발생부채	40	162	320		264	317	320	
영업이익률	5.88	2.37	4.01		3.77	7.61	-0.36	
순이익률	5.54	3.88	4.21		1.20	5.11	6.41	
ROE(%)	23.89	11.45	10.78		8.40	11.00	10.78	
ROA(%)	13.31	6.68	5.74		4.59	5.40	5.74	
부채비율	67.61	73.99	100.12		108.49	119.34	100.12	
자본유보율	216.24	297.10	344.34		311.95	325.77	344.34	
EPS(원)	672	403	451		34	155	161	
PER(배)		8.45	9.33		13.93	10.59	9.33	
BPS(원)	3,188	4,009	4,488		4,167	4,308	4,488	
PBR(배)	0.00	0.85	0.94		1.11	1.09	0.94	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률		0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	10,117,117	12,009,614	12,009,614		12,009,614	12,009,614	12,009,614	
