		2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액			0		0	0	0	
영업이익			-1		0	0	0	
영업이익(발표기준)			-1		0	0	0	
세전계속사업이익			1		0	0	0	
당기순이익			0		0	0	0	
당기순이익(지배)			0		0	0	0	
당기순이익(비지배)								
자산총계			173		172	173	173	
부채총계			20		20	20	20	
자본총계			153		152	152	153	
자본총계(지배)			153		152	152	153	
자본총계(비지배)								
자본금			8		8	8	8	
영업활동현금흐름			-1		0	0	0	
투자활동현금흐름			-171		-171	0	0	
재무활동현금흐름			172		172	0	0	
CAPEX			0		0			
FCF								
이자발생부채			20		20	20	20	
영업이익률								
순이익률								
ROE(%)								
ROA(%)								
부채비율			13.40		13.24	13.28	13.40	
자본유보율			1,851.45		1,841.95	1,847.20	1,851.45	
EPS(원)			10		-25	5	4	
PER(배)			207.20					
BPS(원)			1,951		1,942	1,947	1,951	
PBR(배)			1.03		1.11	1.07	1.03	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)					0.00	0.00		
발행주식수(보통주)			7,822,000		7,822,000	7,822,000	7,822,000	
