	2016/12	2017/12	2018/12	2019/12	2019/03	2019/06	2019/09	2019/12
매출액	910	1,061	1,216		329	391	347	
영업이익	251	266	284		68	91	82	
영업이익(발표기준)	248	262	290		68	88	87	
세전계속사업이익	245	261	287		67	87	84	
당기순이익	183	191	212		50	62	65	
당기순이익(지배)	183	191	212		50	62	65	
당기순이익(비지배)								
자산총계	1,097	1,393	1,908		2,094	2,312	2,380	
부채총계	93	268	202		274	437	436	
자본총계	1,004	1,125	1,706		1,820	1,875	1,944	
자본총계(지배)	1,004	1,125	1,706		1,820	1,875	1,944	
자본총계(비지배)								
자본금	66	62	193		200	199	200	
영업활동현금흐름	118	163	154		55	24	139	
투자활동현금흐름	-37	-409	-309		-26	-7	-12	
재무활동현금흐름	238	187	245		52	191	-14	
CAPEX	6	373	310		9	7	29	
FCF	113	-211	-156		46	17	110	
이자발생부채	0	199	63		117	312	295	
영업이익률	27.54	25.06	23.39		20.59	23.30	23.75	
순이익률	20.09	18.03	17.45		15.25	15.89	18.62	
ROE(%)	23.33	17.97	14.99		12.87	12.60	14.12	
ROA(%)	21.00	15.37	12.86		11.45	10.80	12.12	
부채비율	9.21	23.80	11.83		15.07	23.30	22.40	
자본유보율	1,430.99	1,715.88	784.33		809.78	840.89	873.15	
EPS(원)	293	243	209		47	58	60	
PER(배)	8.37	5.87	3.13		3.86	3.87	2.02	
BPS(원)	1,276	1,430	1,589		1,695	1,746	1,810	
PBR(배)	1.92	1.00	0.41		0.47	0.46	0.26	
현금DPS(원)	31	20	0		0	0	0	
현금배당수익률	1.27	1.37	0.00					
현금배당성향(%)	3.72	3.19	0.00		0.00	0.00	0.00	
발행주식수(보통주)	78,723,059	78,723,059	107,385,475		107,385,475	107,385,475	107,385,475	
