	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	322	336	424		105	114	125	
영업이익	6	38	62		15	12	20	
영업이익(발표기준)	6	38	62		15	12	20	
세전계속사업이익	-2	36	58		16	8	24	
당기순이익	-2	24	38		16	4	24	
당기순이익(지배)	-2	24	38		16	4	24	
당기순이익(비지배)								
자산총계	424	420	570		478	570	492	
부채총계	272	199	303		215	303	200	
자본총계	152	222	267		263	267	292	
자본총계(지배)	152	222	267		263	267	292	
자본총계(비지배)								
자본금	39	50	52		52	52	52	
영업활동현금흐름	26	11	85		40	52	-21	
투자활동현금흐름	26	12	26		-7	2	-5	
재무활동현금흐름	-24	13	-7		-1	-1	-16	
CAPEX	2	1	3		5	-3	1	
FCF	25	9	83		35	55	-22	
이자발생부채	204	148	138		139	138	121	
영업이익률	1.88	11.29	14.52		14.20	10.53	15.78	
순이익률	-0.56	7.28	8.94		15.51	3.22	19.23	
ROE(%)	-1.20	13.11			15.34	15.51		
ROA(%)	-0.43	5.80			8.11	7.65		
부채비율	179.09	89.70	113.61		81.84	113.61	68.56	
자본유보율	399.11	423.75	494.30		487.44	494.30	542.09	
EPS(원)	-24	264	370		159	36	232	
PER(배)	N/A	9.64	14.61		11.52	14.61		
BPS(원)	2,042	2,276	2,661		2,621	2,661	2,909	
PBR(배)	1.24	1.12	2.03		1.59	2.03	1.60	
현금DPS(원)	0	0		0				
현금배당수익률	0.00	0.00		0.00				
현금배당성향(%)	0.00	0.00	0.00		0.00			
발행주식수(보통주)	7,726,917	10,016,829	10,315,513		10,315,513	10,315,513	10,315,513	
