	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	900	981	1,012		223	222	395	
영업이익	6	-33	4		-5	1	18	
영업이익(발표기준)	6	-33	4		-5	1	18	
세전계속사업이익	11	-41	-6		-5	-16	23	
당기순이익	9	-40	-7		-5	-16	23	
당기순이익(지배)	9	-40	-7		-5	-16	23	
당기순이익(비지배)								
자산총계	620	529	630		535	519	630	
부채총계	328	271	374		296	295	374	
자본총계	293	258	256		239	224	256	
자본총계(지배)	293	258	256		239	224	256	
자본총계(비지배)								
자본금	77	79	79		79	79	79	
영업활동현금흐름	-32	-26	80		-149	41	193	
투자활동현금흐름	-74	20	-15		-7	0	-3	
재무활동현금흐름	85	-13	44		130	-36	-45	
CAPEX	7	1	2		0	0	2	
FCF	-39	-27	77		-149	41	191	
이자발생부채	84	83	142		204	169	142	
영업이익률	0.62	-3.40	0.44		-2.09	0.50	4.49	
순이익률	0.98	-4.08	-0.66		-2.14	-7.00	5.83	
ROE(%)	3.77	-14.52	-2.61		-15.52	-19.72	-2.61	
ROA(%)	1.74	-6.96	-1.16		-7.68	-9.42	-1.16	
부채비율	112.01	104.90	146.19		123.51	131.25	146.19	
자본유보율	279.95	223.37	210.82		201.81	181.66	210.82	
EPS(원)	66	-256	-43		-30	-99	146	
PER(배)	60.77	N/A	N/A		N/A	N/A	N/A	
BPS(원)	1,906	1,642	1,623		1,523	1,424	1,623	
PBR(배)	2.10	1.75	2.77		2.24	2.63	2.77	
현금DPS(원)	0	0			0			
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00			0.00	0.00		
발행주식수(보통주)	15,358,580	15,718,580	15,768,580		15,718,580	15,768,580	15,768,580	
