	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	164	157	158		42	29	67	
영업이익	1	3	-4		5	-14	20	
영업이익(발표기준)	1	3	-4		5	-14	20	
세전계속사업이익	14	2	307		28	-8	306	
당기순이익	14	2	337		28	-8	336	
당기순이익(지배)	14	3	337		27	-7	336	
당기순이익(비지배)								
자산총계	872	931	1,742		1,017	1,018	1,742	
부채총계	340	326	480		265	267	480	
자본총계	532	604	1,262		753	751	1,262	
자본총계(지배)	532	602	1,243		749	745	1,243	
자본총계(비지배)								
자본금	63	72	141		94	94	141	
영업활동현금흐름	-3	26	18		-1	5	20	
투자활동현금흐름	-11	-26	-21		-3	-10	-4	
재무활동현금흐름	12	32	77		110	-1	0	
CAPEX	2	1	1		0	0	1	
FCF	-5	25	17		-2	4	19	
이자발생부채	291	273	332		232	231	332	
영업이익률	0.58	1.69	-2.66		11.58	-49.23	30.17	
순이익률	8.37	1.04	212.86		66.88	-28.43	504.43	
ROE(%)	2.66		36.53		2.26	1.76	36.53	
ROA(%)	1.63		25.21		1.61	1.11	25.21	
부채비율	63.93	54.03	38.04		35.15	35.56	38.04	
자본유보율	736.08	711.02	834.99		672.15	664.90	834.99	
EPS(원)	109	20	1,903		146	-36	1,766	
PER(배)	31.08	156.98	1.46		32.80	36.92	1.46	
BPS(원)	4,227	4,204	4,404		3,986	3,963	4,404	
PBR(배)	0.80	0.76	0.63		0.80	0.65	0.63	
현금DPS(원)	0	0			0	0		
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00			0.00	0.00		
발행주식수(보통주)	12,583,016	14,309,144	28,217,081		18,796,541	18,796,541	28,217,081	
