	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	799	891	951		256	225	238	
영업이익	60	50	12		11	1	-6	
영업이익(발표기준)	60	50	12		11	1	-6	
세전계속사업이익	61	39	4		9	-1	-9	
당기순이익	44	45	2		6	-2	-8	
당기순이익(지배)	43	45	3		7	-1	-7	
당기순이익(비지배)	1							
자산총계	685	982	1,000		1,010	997	1,000	
부채총계	174	413	438		430	419	438	
자본총계	511	568	562		580	578	562	
자본총계(지배)	510	567	561		579	578	561	
자본총계(비지배)	1							
자본금	56	58	58		58	58	58	
영업활동현금흐름	18	42	25		19	-8	15	
투자활동현금흐름	-20	-93	-110		9	-3	39	
재무활동현금흐름	-1	223	-26		-14	-1	-20	
CAPEX	15	9	62		11	13	32	
FCF	3	33	-36		8	-22	-17	
이자발생부채	2	193	198		211	215	198	
영업이익률	7.52	5.60	1.25		4.35	0.31	-2.46	
순이익률	5.55	5.05	0.25		2.53	-0.70	-3.18	
ROE(%)	9.88	8.29	0.53		4.77	4.08	0.53	
ROA(%)	6.68	5.39	0.24		3.05	2.67	0.24	
부채비율	34.13	72.73	77.85		74.17	72.45	77.85	
자본유보율	799.59	895.51	888.84		915.79	913.27	888.84	
EPS(원)	393	389	26		57	-13	-62	
PER(배)	29.12	19.04	244.35		30.67	29.88	244.35	
BPS(원)	4,533	4,922	4,818		5,024	5,011	4,818	
PBR(배)	2.53	1.50	1.32		1.43	1.20	1.32	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	11,288,324	11,570,324	11,686,025		11,570,324	11,570,324	11,686,025	
