	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	91	92	60		11	24	13	
영업이익	-117	-117	-232		-49	-69	-57	
영업이익(발표기준)	-117	-117	-232		-49	-69	-57	
세전계속사업이익	-145	-141	-263		-48	-105	-76	
당기순이익	-156	-143	-264		-47	-106	-76	
당기순이익(지배)	-154	-136	-246		-45	-101	-74	
당기순이익(비지배)	-2							
자산총계	459	732	1,136		1,214	1,136	943	
부채총계	225	256	449		417	449	330	
자본총계	234	476	687		797	687	613	
자본총계(지배)	235	477	707		810	707	635	
자본총계(비지배)	-1							
자본금	81	104	120		120	120	121	
영업활동현금흐름	-106	-115	-133		-56	-40	-47	
투자활동현금흐름	65	-258	-381		-461	13	152	
재무활동현금흐름	62	366	559		496	-6	-126	
CAPEX	81	16	153		90	23	15	
FCF	-188	-131	-287		-146	-63	-63	
이자발생부채	175	174	309		279	309	182	
영업이익률	-128.52	-127.59	-385.60		-437.93	-283.14	-423.26	
순이익률	-170.97	-155.96	-439.57		-419.29	-436.70	-569.47	
ROE(%)		-38.36	-41.61		-43.77	-41.61	-51.79	
ROA(%)		-24.00	-28.25		-31.77	-28.25	-34.22	
부채비율	96.17	53.83	65.37		52.38	65.37	53.79	
자본유보율	176.36	348.57	478.02		564.18	478.02	390.00	
EPS(원)	-987	-721	-1,101		-188	-421	-308	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	1,348	2,290	2,936		3,365	2,936	2,622	
PBR(배)	8.77	9.52	2.77		3.85	2.77	3.51	
현금DPS(원)	0	0			0			
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00			0.00			
발행주식수(보통주)	17,416,964	20,824,937	20,849,437		20,844,437	20,849,437	20,979,437	
