	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	2,707	2,543	2,690		574	820	886	
영업이익	232	165	116		30	55	11	
영업이익(발표기준)	232	165	116		30	55	11	
세전계속사업이익	228	183	217		33	76	81	
당기순이익	133	139	159		27	59	54	
당기순이익(지배)	133	139	159		27	59	54	
당기순이익(비지배)								
자산총계	1,644	1,750	2,225		1,805	2,071	2,225	
부채총계	651	664	992		691	890	992	
자본총계	993	1,086	1,234		1,114	1,182	1,234	
자본총계(지배)	993	1,086	1,234		1,114	1,182	1,234	
자본총계(비지배)								
자본금	38	38	38		38	38	38	
영업활동현금흐름	177	32	59		-22	211	-109	
투자활동현금흐름	-19	-93	-36		3	-68	85	
재무활동현금흐름	-18	-45	-29		-21	3	-5	
CAPEX	2	0	9		6	0	0	
FCF	175	32	50		-28	211	-109	
이자발생부채	0	0	6		7	7	6	
영업이익률	8.58	6.48	4.30		5.31	6.69	1.23	
순이익률	4.93	5.46	5.93		4.64	7.24	6.06	
ROE(%)	14.33	13.35	13.75		10.60	12.34	13.75	
ROA(%)	8.27	8.17	8.02		6.38	7.25	8.02	
부채비율	65.57	61.18	80.37		62.10	75.29	80.37	
자본유보율	2,655.94	2,966.34	3,348.00		3,045.87	3,211.89	3,348.00	
EPS(원)	1,779	1,850	2,126		355	791	716	
PER(배)	10.29	7.24	8.02		10.56	8.71	8.02	
BPS(원)	13,593	15,240	17,405		15,711	16,670	17,405	
PBR(배)	1.35	0.88	0.98		1.03	0.97	0.98	
현금DPS(원)	280	280	300		0	0	300	
현금배당수익률	1.53	2.09	1.76					
현금배당성향(%)	15.74	15.14	12.84		0.00	0.00	38.13	
발행주식수(보통주)	7,500,000	7,500,000	7,500,000		7,500,000	7,500,000	7,500,000	
