	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	886	1,183	948		290	227	145	
영업이익	28	116	-39		10	-7	-44	
영업이익(발표기준)	28	116	-39		10	-7	-44	
세전계속사업이익	-22	109	-62		23	13	-102	
당기순이익	-31	92	-50		20	12	-86	
당기순이익(지배)	-31	92	-50		20	12	-86	
당기순이익(비지배)								
자산총계	892	1,026	1,672		1,385	1,743	1,672	
부채총계	326	366	1,004		697	984	1,004	
자본총계	566	660	668		689	759	668	
자본총계(지배)	566	660	668		689	759	668	
자본총계(비지배)								
자본금	30	30	32		30	32	32	
영업활동현금흐름	71	107	69		43	-6	50	
투자활동현금흐름	-75	-29	-857		-112	-331	-143	
재무활동현금흐름	-55	-95	794		74	356	85	
CAPEX	77	57	107		11	58	21	
FCF	-6	50	-37		31	-64	29	
이자발생부채	184	94	860		502	778	860	
영업이익률	3.19	9.78	-4.12		3.34	-2.96	-30.09	
순이익률	-3.54	7.77	-5.27		6.77	5.31	-59.58	
ROE(%)	-5.24	14.99	-7.53		10.87	8.53	-7.53	
ROA(%)	-3.31	9.58	-3.70		5.99	4.27	-3.70	
부채비율	57.60	55.53	150.23		101.16	129.75	150.23	
자본유보율	1,848.53	2,152.14	2,012.23		2,232.29	2,279.75	2,012.23	
EPS(원)	-104	304	-162		65	39	-268	
PER(배)	N/A	9.51	N/A		14.49	12.92	N/A	
BPS(원)	1,963	2,286	2,166		2,387	2,459	2,166	
PBR(배)	0.78	1.26	1.28		1.42	1.03	1.28	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	30,225,000	30,225,000	32,229,009		30,225,000	32,229,009	32,229,009	
