	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	798	709	618		137	181	188	
영업이익	266	246	134		25	23	32	
영업이익(발표기준)	266	246	134		25	23	32	
세전계속사업이익	244	237	134		27	24	28	
당기순이익	214	188	111		21	23	23	
당기순이익(지배)	214	188	111		21	23	23	
당기순이익(비지배)								
자산총계	760	853	1,589		1,589	1,589	1,621	
부채총계	332	240	137		123	137	145	
자본총계	428	614	1,452		1,466	1,452	1,475	
자본총계(지배)	428	614	1,452		1,466	1,452	1,475	
자본총계(비지배)								
자본금	76	76	92		92	92	92	
영업활동현금흐름	227	241	130			33	49	
투자활동현금흐름	-52	-178	-773			-104	-79	
재무활동현금흐름	-96	-109	684			-3	-3	
CAPEX	64	169	259			74	54	
FCF	163	72	-128		0	-41	-5	
이자발생부채	221	112	35		38	35	32	
영업이익률	33.31	34.64	21.72		18.23	12.85	16.91	
순이익률	26.82	26.48	18.00		15.63	12.71	12.41	
ROE(%)	67.38	36.08	10.78					
ROA(%)	32.08	23.28	9.12					
부채비율	77.62	39.12	9.41		8.38	9.41	9.86	
자본유보율	474.85	720.44	1,480.66		1,495.83	1,480.66	1,506.05	
EPS(원)	1,416	1,242	673		122	126	127	
PER(배)			28.46					
BPS(원)	2,830	4,058	7,900		7,976	7,900	8,027	
PBR(배)	0.00	0.00	2.42		2.62	2.42	1.38	
현금DPS(원)	0	0						
현금배당수익률								
현금배당성향(%)	0.00	0.00			0.00			
발행주식수(보통주)	15,120,000	15,120,000	18,377,428		18,377,428	18,377,428	18,377,428	
