	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	661	664	821		199	209	232	
영업이익	69	61	60		19	5	19	
영업이익(발표기준)	69	61	60		19	5	19	
세전계속사업이익	76	70	70		21	7	24	
당기순이익	62	56	55		16	7	19	
당기순이익(지배)	62	56	56		16	7	18	
당기순이익(비지배)								
자산총계	755	1,099	1,152		1,138	1,126	1,152	
부채총계	202	461	488		473	472	488	
자본총계	552	637	663		665	655	663	
자본총계(지배)	552	629	655		657	647	655	
자본총계(비지배)								
자본금	60	60	60		60	60	60	
영업활동현금흐름	58	74	69		-4	43	22	
투자활동현금흐름	-86	-317	-71		-46	50	-10	
재무활동현금흐름	-8	278	-27		1	-28	1	
CAPEX	75	311	62		13	12	23	
FCF	-16	-237	6		-17	31	0	
이자발생부채	67	313	318		330	311	318	
영업이익률	10.44	9.19	7.28		9.74	2.42	8.25	
순이익률	9.38	8.38	6.76		7.85	3.12	7.99	
ROE(%)	11.82	9.47	8.70		10.73	8.44	8.70	
ROA(%)	8.54	6.00	4.93		6.22	4.73	4.93	
부채비율	36.63	72.36	73.62		71.03	72.00	73.62	
자본유보율	842.12	972.42	1,066.09		1,024.13	1,035.33	1,066.09	
EPS(원)	520	469	468		133	56	154	
PER(배)	23.27	30.08	17.94		23.90	23.27	17.94	
BPS(원)	4,631	5,274	5,610		5,530	5,515	5,610	
PBR(배)	2.61	2.67	1.50		2.40	1.88	1.50	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	11,927,520	11,927,520	11,927,520		11,927,520	11,927,520	11,927,520	
