	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	456	508	373		77	97	146	
영업이익	182	152	31		-21	26	30	
영업이익(발표기준)	182	152	31		-21	26	30	
세전계속사업이익	175	161	42		-18	34	25	
당기순이익	161	148	41		-13	26	27	
당기순이익(지배)	161	148	41		-13	26	27	
당기순이익(비지배)								
자산총계	602	770	762		737	744	762	
부채총계	65	106	64		93	73	64	
자본총계	536	665	699		644	671	699	
자본총계(지배)	536	665	699		644	671	699	
자본총계(비지배)								
자본금	25	25	25		25	25	25	
영업활동현금흐름	147	172	23		22	-70	88	
투자활동현금흐름	-38	-215	73		-4	42	50	
재무활동현금흐름	56		-12		-9	-1	-1	
CAPEX	4	5	4		1	1	0	
FCF	143	167	19		21	-71	88	
이자발생부채	0	0	9		5	4	9	
영업이익률	39.80	29.81	8.33		-27.63	26.87	20.60	
순이익률	35.24	29.17	10.91		-17.18	27.02	18.81	
ROE(%)	40.41	24.70	5.98		7.70	6.96	5.98	
ROA(%)	33.11	21.61	5.32		6.66	6.21	5.32	
부채비율	12.21	15.92	9.10		14.36	10.94	9.10	
자본유보율	2,269.16	2,792.88	2,927.45		2,706.89	2,814.14	2,927.45	
EPS(원)	3,439	3,023	830		-269	536	558	
PER(배)	8.58	4.22	14.40		13.38	10.92	14.40	
BPS(원)	11,320	14,032	14,731		13,590	14,146	14,731	
PBR(배)	2.61	0.91	0.81		0.96	0.71	0.81	
현금DPS(원)	0	150	120		0	0	120	
현금배당수익률	0.00	1.18	1.00					
현금배당성향(%)	0.00	4.79	13.97		0.00	0.00	20.77	
발행주식수(보통주)	4,905,500	4,905,500	4,910,500		4,910,500	4,910,500	4,910,500	
