	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,366	1,467	1,574		347	353	609	
영업이익	18	-14	26		17	8	33	
영업이익(발표기준)	18	-14	26		17	8	33	
세전계속사업이익	22	-22	16		17	-9	39	
당기순이익	17	-26	14		17	-10	37	
당기순이익(지배)	12	-14	16		18	-5	30	
당기순이익(비지배)	5							
자산총계	1,329	1,240	1,345		1,209	1,199	1,345	
부채총계	595	523	613		514	514	613	
자본총계	734	717	732		695	685	732	
자본총계(지배)	644	634	648		617	610	648	
자본총계(비지배)	90							
자본금	157	157	157		157	157	157	
영업활동현금흐름	17	-8	111		-168	60	221	
투자활동현금흐름	-84	-10	0		30	-21	9	
재무활동현금흐름	40	-29	14		123	-32	-65	
CAPEX	9	4	5		0	1	3	
FCF	8	-12	106		-168	59	218	
이자발생부채	252	220	230		339	309	230	
영업이익률	1.34	-0.94	1.62		5.04	2.17	5.40	
순이익률	1.25	-1.80	0.86		4.88	-2.75	6.08	
ROE(%)	2.04	-2.12	2.46		-0.37	-0.77	2.46	
ROA(%)	1.39	-2.05	1.05		-1.29	-1.74	1.05	
부채비율	81.03	72.87	83.70		73.89	75.05	83.70	
자본유보율	307.27	298.71	305.84		290.14	287.04	305.84	
EPS(원)	39	-43	50		59	-15	94	
PER(배)	85.87	N/A	64.58		N/A	N/A	64.58	
BPS(원)	2,074	2,037	2,082		1,983	1,962	2,082	
PBR(배)	1.62	1.05	1.56		1.56	1.70	1.56	
현금DPS(원)	15	15	15		0	0	15	
현금배당수익률	0.45	0.70	0.46					
현금배당성향(%)	37.86	-34.53	29.61		0.00	0.00	15.79	
발행주식수(보통주)	31,422,383	31,422,383	31,422,383		31,422,383	31,422,383	31,422,383	
