	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	403	314	497		102	151	122	
영업이익	67	-3	-79		-48	-8	-12	
영업이익(발표기준)	67	-3	-79		-48	-8	-12	
세전계속사업이익	65	0	-99		-53	-14	-21	
당기순이익	87	-24	-93		-47	-14	-21	
당기순이익(지배)	87	-24	-93		-47	-14	-21	
당기순이익(비지배)								
자산총계	162	362	984		548	652	984	
부채총계	147	101	795		324	442	795	
자본총계	14	260	189		224	211	189	
자본총계(지배)	14	260	189		224	211	189	
자본총계(비지배)								
자본금	207	152	152		152	152	152	
영업활동현금흐름	48	24	-110		-60	12	-16	
투자활동현금흐름	-3	-160	-115		-79	-34	0	
재무활동현금흐름	-34	190	260		0	0	0	
CAPEX	2	157	86		48	34	2	
FCF	46	-134	-196		-109	-22	-18	
이자발생부채	110	30	283		289	276	283	
영업이익률	16.50	-1.02	-15.83		-46.53	-5.03	-10.03	
순이익률	21.52	-7.56	-18.67		-46.14	-9.00	-17.34	
ROE(%)	-298.15	-17.31	-41.23				-41.23	
ROA(%)	70.19	-9.08	-13.78				-13.78	
부채비율	1,031.28	38.95	419.46		144.35	209.88	419.46	
자본유보율	-93.10	71.26	24.64		47.45	38.51	24.64	
EPS(원)	457	-90	-305		-155	-45	-69	
PER(배)								
BPS(원)	75	856	623		737	693	623	
PBR(배)	0.00	0.00	0.00		0.00	0.00	0.00	
현금DPS(원)	0	0			0	0		
현금배당수익률								
현금배당성향(%)	0.00	0.00			0.00	0.00		
발행주식수(보통주)	19,000,000	30,400,000	30,400,000		30,400,000	30,400,000	30,400,000	
