	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	771	952	1,183		303	187	342	
영업이익	63	81	109		37	0	17	
영업이익(발표기준)	63	81	109		37	0	17	
세전계속사업이익	55	81	97		28	4	8	
당기순이익	47	69	81		23	4	9	
당기순이익(지배)	47	69	81		23	4	9	
당기순이익(비지배)								
자산총계	657	813	1,159		982	971	1,159	
부채총계	339	446	737		560	546	737	
자본총계	318	367	422		422	425	422	
자본총계(지배)	318	367	422		422	425	422	
자본총계(비지배)								
자본금	36	36	36		36	36	36	
영업활동현금흐름	37	43	83		77	20	-39	
투자활동현금흐름	-103	-108	-256		-39	-129	-68	
재무활동현금흐름	68	39	186		31	14	116	
CAPEX	94	87	259		50	116	68	
FCF	-57	-44	-177		27	-96	-106	
이자발생부채	186	241	450		319	333	450	
영업이익률	8.16	8.52	9.20		12.17	-0.10	4.85	
순이익률	6.11	7.20	6.86		7.60	2.34	2.62	
ROE(%)	16.09	20.01	20.57		25.90	25.94	20.57	
ROA(%)	8.10	9.32	8.23		11.58	11.78	8.23	
부채비율	106.60	121.54	174.60		132.73	128.56	174.60	
자본유보율	716.69	870.15	1,031.19		1,030.47	1,042.47	1,031.19	
EPS(원)	725	1,054	1,249		354	67	138	
PER(배)	18.07	12.14	22.10		14.68	17.57	22.10	
BPS(원)	5,094	6,175	6,834		6,827	6,877	6,834	
PBR(배)	2.57	2.07	4.04		3.28	3.94	4.04	
현금DPS(원)	150	150	300		0	0	300	
현금배당수익률	1.15	1.17	1.09					
현금배당성향(%)	19.86	13.58	22.83		0.00	0.00	206.70	
발행주식수(보통주)	6,500,000	6,500,000	6,500,000		6,500,000	6,500,000	6,500,000	
