	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,503	1,598	1,670		417	431	429	
영업이익	167	177	184		52	54	49	
영업이익(발표기준)	167	177	184		52	54	49	
세전계속사업이익	189	254	218		52	65	57	
당기순이익	163	228	191		50	49	52	
당기순이익(지배)	163	228	191		50	49	52	
당기순이익(비지배)								
자산총계	2,236	2,448	2,602		2,474	2,481	2,602	
부채총계	397	504	545		517	476	545	
자본총계	1,839	1,944	2,057		1,957	2,006	2,057	
자본총계(지배)	1,839	1,944	2,057		1,957	2,006	2,057	
자본총계(비지배)								
자본금	52	52	52		52	52	52	
영업활동현금흐름	243	314	227		61	17	86	
투자활동현금흐름	-280	-82	-255		44	-132	10	
재무활동현금흐름	-61	-69	-81		-78		-3	
CAPEX	37	53	55		13	13	10	
FCF	206	261	172		48	3	76	
이자발생부채	0	0	4		0	0	4	
영업이익률	11.14	11.08	11.03		12.49	12.45	11.51	
순이익률	10.83	14.29	11.46		12.04	11.27	12.12	
ROE(%)	9.15	12.08	9.57		12.02	10.23	9.57	
ROA(%)	7.43	9.75	7.58		9.39	8.19	7.58	
부채비율	21.61	25.91	26.52		26.40	23.71	26.52	
자본유보율	3,817.91	4,065.59	4,283.79		4,090.07	4,183.69	4,283.79	
EPS(원)	1,626	2,281	1,912		501	485	519	
PER(배)	33.03	20.34	34.26		28.32	33.66	34.26	
BPS(원)	21,171	22,381	23,679		22,531	23,090	23,679	
PBR(배)	2.54	2.07	2.77		2.84	2.90	2.77	
현금DPS(원)	800	900	900		0	0	900	
현금배당수익률	1.49	1.94	1.37					
현금배당성향(%)	42.68	34.22	40.84		0.00	0.00	150.43	
발행주식수(보통주)	10,013,855	10,013,855	10,013,855		10,013,855	10,013,855	10,013,855	
