	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,051	1,112	997		259	232	254	
영업이익	33	181	109		37	28	27	
영업이익(발표기준)	33	181	109		37	28	27	
세전계속사업이익	34	184	117		39	30	29	
당기순이익	39	143	93		30	24	25	
당기순이익(지배)	39	143	93		30	24	25	
당기순이익(비지배)								
자산총계	1,280	1,390	1,395		1,350	1,354	1,395	
부채총계	303	278	198		201	179	198	
자본총계	977	1,111	1,197		1,149	1,175	1,197	
자본총계(지배)	977	1,111	1,195		1,149	1,173	1,195	
자본총계(비지배)								
자본금	111	111	111		111	111	111	
영업활동현금흐름	39	261	72		-9	26	47	
투자활동현금흐름	-45	-134	-70		-33	-16	-54	
재무활동현금흐름	-6	-64	-30		-15	-24	-6	
CAPEX	45	27	321		6	91	231	
FCF	-6	234	-249		-15	-65	-184	
이자발생부채	142	85	64		89	67	64	
영업이익률	3.13	16.26	10.91		14.33	12.14	10.50	
순이익률	3.69	12.88	9.31		11.63	10.19	9.67	
ROE(%)	4.04	13.72			10.04			
ROA(%)	3.11	10.73			8.17			
부채비율	31.06	25.02	16.57		17.52	15.22	16.57	
자본유보율	824.33	945.37	1,020.31		979.05	1,000.39	1,020.31	
EPS(원)	175	645	418		136	107	111	
PER(배)	16.60	5.27	7.45		6.92			
BPS(원)	5,435	6,184	6,648		6,393	6,525	6,648	
PBR(배)	0.53	0.55	0.47		0.54	0.46	0.47	
현금DPS(원)	40	40	40		0	0	40	
현금배당수익률	1.38	1.18	1.28					
현금배당성향(%)	18.54	5.02	7.74		0.00	0.00	29.26	
발행주식수(보통주)	22,200,000	22,200,000	22,200,000		22,200,000	22,200,000	22,200,000	
