	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	436	334	369		84	105	98	
영업이익	-19	12	25		8	10	2	
영업이익(발표기준)	-19	12	25		8	10	2	
세전계속사업이익	-93	-27	-7		12	-21	-8	
당기순이익	-93	-22	-10		12	-21	-12	
당기순이익(지배)	-93	-22	-10		12	-21	-12	
당기순이익(비지배)								
자산총계	625	701	876		905	902	876	
부채총계	399	377	326		322	340	326	
자본총계	226	324	550		583	562	550	
자본총계(지배)	226	324	550		583	562	550	
자본총계(비지배)								
자본금	207	254	358		357	357	358	
영업활동현금흐름	-27	46	86		5	16	23	
투자활동현금흐름	-201	-26	-90		-51	-3	77	
재무활동현금흐름	178	119	160		-42	-3	-3	
CAPEX	71	31	19		1	1	17	
FCF	-98	15	67		4	15	6	
이자발생부채	311	320	261		260	262	261	
영업이익률	-4.45	3.61	6.86		9.48	9.98	2.23	
순이익률	-21.44	-6.71	-2.71		14.21	-20.27	-11.77	
ROE(%)	-43.21	-8.15	-2.29		4.59	-1.54	-2.29	
ROA(%)	-16.02	-3.38	-1.27		2.59	-0.85	-1.27	
부채비율	176.82	116.08	59.18		55.28	60.55	59.18	
자본유보율	134.04	130.56	126.25		135.82	129.85	126.25	
EPS(원)	-274	-45	-14		17	-30	-16	
PER(배)	N/A	N/A	N/A		48.84	N/A	N/A	
BPS(원)	551	640	769		817	788	769	
PBR(배)	2.20	2.53	1.70		2.10	1.76	1.70	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	41,322,576	50,722,994	71,596,816		71,414,001	71,414,001	71,596,816	
