	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	302	465	356		75	123	93	
영업이익	-47	7	-39		-6	0	2	
영업이익(발표기준)	-47	7	-39		-6	0	2	
세전계속사업이익	-49	10	-34		-5	0	2	
당기순이익	-36	21	-32		-2	-6	2	
당기순이익(지배)	-36	21	-32		-2	-6	2	
당기순이익(비지배)								
자산총계	519	561	423		437	423	392	
부채총계	88	167	94		81	94	72	
자본총계	431	394	329		357	329	320	
자본총계(지배)	431	394	329		357	329	320	
자본총계(비지배)								
자본금	62	62	62		62	62	62	
영업활동현금흐름	-29	42	-20		-34	32	-14	
투자활동현금흐름	-131	-9	-33		-18	27	0	
재무활동현금흐름	-21	-6	-18		-1	-2	-6	
CAPEX	0	6	2		0	1	1	
FCF	-30	36	-22		-34	31	-15	
이자발생부채	0	0	20		22	20	19	
영업이익률	-15.71	1.57	-11.05		-7.90	-0.09	1.78	
순이익률	-12.04	4.44	-8.92		-3.04	-4.78	2.53	
ROE(%)	-7.89	5.00	-8.77		1.09	-8.77	-4.27	
ROA(%)	-6.35	3.82	-6.45		0.90	-6.45	-3.37	
부채비율	20.46	42.28	28.47		22.64	28.47	22.61	
자본유보율	597.58	618.28	547.53		557.02	547.53	538.63	
EPS(원)	-304	173	-266		-19	-49	20	
PER(배)	N/A	17.16	N/A		87.26	N/A	N/A	
BPS(원)	3,605	3,300	2,755		2,984	2,755	2,728	
PBR(배)	1.67	0.90	1.11		1.03	1.11	0.81	
현금DPS(원)	100	100	100		0	100		
현금배당수익률	1.66	3.37	3.28					
현금배당성향(%)	-21.62	57.87	-24.77		0.00	-134.17		
발행주식수(보통주)	11,952,500	11,952,500	11,952,500		11,952,500	11,952,500	11,952,500	
