	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	362	440	479		122	110	122	
영업이익	-16	6	14		0	1	14	
영업이익(발표기준)	-16	6	14		0	1	14	
세전계속사업이익	-20	-10	20		0	0	20	
당기순이익	-38	-17	24		-4	-1	29	
당기순이익(지배)	-38	-17	24		-4	-1	29	
당기순이익(비지배)								
자산총계	357	328	379		312	320	379	
부채총계	263	242	182		225	236	182	
자본총계	94	85	197		86	84	197	
자본총계(지배)	94	85	197		86	84	197	
자본총계(비지배)								
자본금	71	71	85		71	71	85	
영업활동현금흐름	-16	18	32		52	-50	22	
투자활동현금흐름	-87	2	-68		-1	-2	-61	
재무활동현금흐름	100	-23	72		-43	48	72	
CAPEX	107	22	22		2	3	12	
FCF	-123	-4	10		50	-53	10	
이자발생부채	141	118	82		71	136	82	
영업이익률	-4.33	1.37	2.84		0.10	0.46	11.65	
순이익률	-10.41	-3.84	4.95		-3.17	-0.83	23.43	
ROE(%)	-39.38	-18.84	16.80		-23.75	1.90	16.80	
ROA(%)	-11.85	-4.94	6.71		-6.46	0.50	6.71	
부채비율	278.97	284.17	92.38		261.26	282.99	92.38	
자본유보율	12.16	-1.35	110.14		-6.09	-7.42	110.14	
EPS(원)	-297	-119	162		-27	-6	183	
PER(배)	N/A	N/A	105.85		N/A	223.16	105.85	
BPS(원)	661	599	1,155		605	587	1,155	
PBR(배)	2.91	1.95	14.89		6.03	4.36	14.89	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	14,247,866	14,247,866	17,047,866		14,247,866	14,247,866	17,047,866	
