	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	369	543	429			74	105	
영업이익	22	51	35			-3	0	
영업이익(발표기준)	22	51	35			-3	0	
세전계속사업이익	17	52	35			-3	4	
당기순이익	16	43	31			-2	4	
당기순이익(지배)	16	43	31			-2	4	
당기순이익(비지배)								
자산총계	424	441	487			520	487	
부채총계	249	230	125			159	125	
자본총계	175	211	362			361	362	
자본총계(지배)	175	211	362			361	362	
자본총계(비지배)								
자본금	4	19	24			24	24	
영업활동현금흐름	-28	52	-114				-42	
투자활동현금흐름	-40	8	62				80	
재무활동현금흐름	52	-46	37				-29	
CAPEX	40	6	17				2	
FCF	-68	46	-130			0	-44	
이자발생부채	178	132	51			79	51	
영업이익률	5.85	9.46	8.12			-3.86	0.44	
순이익률	4.24	7.90	7.21			-2.42	3.59	
ROE(%)	9.80	22.23	10.78					
ROA(%)	3.77	9.93	6.66					
부채비율	141.80	109.11	34.47			44.15	34.47	
자본유보율	3,995.18	984.67	1,375.29			1,369.84	1,375.29	
EPS(원)	427	1,115	717			-38	77	
PER(배)			16.40					
BPS(원)	4,550	5,476	7,453			7,417	7,453	
PBR(배)	0.00	0.00	1.58			1.70	1.58	
현금DPS(원)	6	6	80		0	0	80	
현금배당수익률			0.68					
현금배당성향(%)	1.37	0.54	12.59			0.00	103.70	
발행주식수(보통주)	3,852,630	3,852,630	4,862,000		3,852,630	4,862,000	4,862,000	
