	2016/12	2017/12	2018/12	2019/12	2019/03	2019/06	2019/09	2019/12
매출액	759	840	962		246	270	280	
영업이익	190	240	279		66	53	43	
영업이익(발표기준)	190	240	279		66	53	43	
세전계속사업이익	194	225	278		61	34	44	
당기순이익	143	168	200		45	20	32	
당기순이익(지배)	143	168	200		45	20	32	
당기순이익(비지배)								
자산총계	541	693	1,101		1,251	1,267	1,252	
부채총계	241	243	261		334	352	303	
자본총계	300	449	840		917	915	949	
자본총계(지배)	300	449	840		917	915	949	
자본총계(비지배)								
자본금	68	64	260		270	269	270	
영업활동현금흐름	160	188	244		-11	-5	16	
투자활동현금흐름	-65	-69	-15		-1	-14	-17	
재무활동현금흐름	93	5	215		0	-21	-2	
CAPEX	65	69	15		1	12	17	
FCF	94	119	229		-12	-18	-1	
이자발생부채	134	151	165		170	208	207	
영업이익률	25.01	28.59	29.03		26.73	19.62	15.40	
순이익률	18.89	19.97	20.82		18.38	7.38	11.49	
ROE(%)		44.77	31.07					
ROA(%)		27.18	22.34					
부채비율	80.50	54.16	31.03		36.48	38.53	31.89	
자본유보율	347.45	604.22	222.44		239.40	240.02	251.92	
EPS(원)	42,426	559	646		112	49	80	
PER(배)			2.16					
BPS(원)	999	1,498	2,079		2,268	2,264	2,349	
PBR(배)	0.00	0.00	0.67		0.88	0.96	0.96	
현금DPS(원)	0	0	46		0	0	0	
현금배당수익률			3.28					
현금배당성향(%)	0.00	0.00	9.23		0.00	0.00	0.00	
발행주식수(보통주)	30,000,000	30,000,000	40,409,095		40,409,095	40,409,095	40,409,095	
