	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	360	347	386			88	86	
영업이익	100	70	88			15	19	
영업이익(발표기준)	100	70	88			15	19	
세전계속사업이익	103	73	86			14	20	
당기순이익	77	60	66			11	15	
당기순이익(지배)	77	60	66			11	15	
당기순이익(비지배)								
자산총계	912	900	973		1,116	873	973	
부채총계	631	558	569		738	480	569	
자본총계	282	342	404		379	393	404	
자본총계(지배)	282	342	404		379	393	404	
자본총계(비지배)								
자본금	3	3	45		3	45	45	
영업활동현금흐름	16	19	50			302	35	
투자활동현금흐름	-19	9	16			-2	-2	
재무활동현금흐름	-30	-30	-9			-183	0	
CAPEX	5	6	4			1	0	
FCF	11	13	46		0	300	34	
이자발생부채	30	0	19		201	18	19	
영업이익률	27.68	20.06	22.82			16.93	21.46	
순이익률	21.46	17.39	17.08			12.22	17.21	
ROE(%)	31.38	19.38	17.67					
ROA(%)	8.78	6.66	7.04					
부채비율	223.97	163.48	140.76		194.89	122.35	140.76	
자본유보율	22,433.20	24,736.28	1,474.16		26,154.61	1,448.69	1,474.16	
EPS(원)	856	669	730			119	165	
PER(배)								
BPS(원)	3,119	3,784	4,477		4,194	4,350	4,477	
PBR(배)	0.00	0.00	0.00		0.00	0.00	0.00	
현금DPS(원)	0	0	220		0	0	220	
현금배당수익률								
현금배당성향(%)	0.00	0.00	30.14			0.00	133.62	
발행주식수(보통주)	9,027,140	9,027,140	9,027,140		9,027,140	9,027,140	9,027,140	
