	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	608	673	678		157	172	197	
영업이익	-40	-10	27		-5	16	26	
영업이익(발표기준)	-40	-10	27		-5	16	26	
세전계속사업이익	-86	-38	17		-9	13	-24	
당기순이익	-88	-38	12		-9	13	-28	
당기순이익(지배)	-75	-54	17		-8	13	-25	
당기순이익(비지배)	-14							
자산총계	850	1,059	1,093		1,038	1,237	1,093	
부채총계	503	607	495		427	613	495	
자본총계	348	452	599		611	624	599	
자본총계(지배)	331	420	594		599	609	594	
자본총계(비지배)	17							
자본금	202	225	252		252	252	252	
영업활동현금흐름	-21	10	40		4	-18	111	
투자활동현금흐름	-61	-195	-193		-9	-89	-107	
재무활동현금흐름	62	206	119		8	106	-1	
CAPEX	42	26	15		5	4	0	
FCF	-62	-15	25		-2	-22	111	
이자발생부채	381	441	347		189	390	347	
영업이익률	-6.56	-1.53	4.01		-3.49	9.46	13.14	
순이익률	-14.54	-5.66	1.83		-5.82	7.60	-14.34	
ROE(%)	-20.41	-14.35	3.34		-0.37	4.65	3.34	
ROA(%)	-10.20	-3.99	1.15		0.67	2.27	1.15	
부채비율	144.59	134.18	82.66		69.85	98.14	82.66	
자본유보율	52.80	81.50	134.74		132.06	137.81	134.74	
EPS(원)	-37	-25	7		-3	5	-10	
PER(배)	N/A	N/A	72.88		N/A	55.52	72.88	
BPS(원)	164	186	236		237	242	236	
PBR(배)	4.82	3.27	2.16		2.71	2.26	2.16	
현금DPS(원)	0	0						
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	201,910,350	206,440,300	241,417,281		241,417,281	241,417,281	241,417,281	
