	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	763	928	768		222	221	45	
영업이익	125	35	-21		-9	5	-27	
영업이익(발표기준)	125	35	-21		-9	5	-27	
세전계속사업이익	129	43	-18		-8	6	-27	
당기순이익	104	45	-17		-7	4	-22	
당기순이익(지배)	104	45	-17		-7	4	-22	
당기순이익(비지배)								
자산총계	1,003	985	1,150		1,177	1,086	1,150	
부채총계	647	583	588		597	502	588	
자본총계	357	402	562		580	584	562	
자본총계(지배)	357	402	562		580	584	562	
자본총계(비지배)								
자본금	20	20	24		24	24	24	
영업활동현금흐름	169	20	64		8	-33	60	
투자활동현금흐름	-70	-32	-188		48	-4	-31	
재무활동현금흐름	-73	-31	137		-58	3	-6	
CAPEX	6	6	5		5	15	-19	
FCF	164	14	59		4	-48	79	
이자발생부채	198	185	152		149	148	152	
영업이익률	16.44	3.82	-2.68		-4.25	2.23	-60.11	
순이익률	13.68	4.84	-2.16		-2.96	1.95	-49.18	
ROE(%)	35.06		-3.44				-3.44	
ROA(%)	11.14		-1.55				-1.55	
부채비율	181.21	145.13	104.55		102.93	85.86	104.55	
자본유보율	1,715.18	1,939.48	2,259.00		2,333.64	2,351.73	2,259.00	
EPS(원)	2,609	1,122	-351		-138	90	-464	
PER(배)			N/A				N/A	
BPS(원)	8,920	10,042	11,795		12,168	12,258	11,795	
PBR(배)	0.00	0.00	1.31		1.63	1.28	1.31	
현금DPS(원)	0	370	200		0	0	200	
현금배당수익률			1.29					
현금배당성향(%)	0.00	30.81	-57.56		0.00	0.00	-43.14	
발행주식수(보통주)	4,000,000	4,000,000	4,765,650		4,765,650	4,765,650	4,765,650	
