	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	2,720	2,873	3,161		863	960	770	
영업이익	-131	58	116		50	60	1	
영업이익(발표기준)	-131	58	116		50	60	1	
세전계속사업이익	-179	43	108		44	58	1	
당기순이익	-183	11	64		30	40	-9	
당기순이익(지배)	-160	20	64		30	40	-9	
당기순이익(비지배)	-24							
자산총계	1,258	1,338	2,377		1,600	1,538	2,377	
부채총계	729	754	1,350		965	857	1,350	
자본총계	529	584	1,027		635	681	1,027	
자본총계(지배)	538	555	826		607	652	826	
자본총계(비지배)	-9							
자본금	80	80	94		80	80	94	
영업활동현금흐름	114	92	177		-86	167	105	
투자활동현금흐름	-105	-141	-441		-28	-26	-359	
재무활동현금흐름	22	27	333		91	-61	294	
CAPEX	182	109	83		27	11	6	
FCF	-68	-17	94		-113	156	98	
이자발생부채	311	288	516		394	315	516	
영업이익률	-4.83	2.03	3.67		5.79	6.26	0.19	
순이익률	-6.74	0.40	2.04		3.50	4.19	-1.14	
ROE(%)	-25.05	3.60	9.34		6.54	11.70	9.34	
ROA(%)	-13.33	0.89	3.47		2.19	4.52	3.47	
부채비율	137.91	129.21	131.51		151.91	125.86	131.51	
자본유보율	718.82	746.46	883.50		787.84	838.07	883.50	
EPS(원)	-999	123	399		190	251	-53	
PER(배)	N/A	26.69	16.25		19.50	12.66	16.25	
BPS(원)	4,304	4,441	5,280		4,854	5,220	5,280	
PBR(배)	0.54	0.74	1.23		0.97	1.07	1.23	
현금DPS(원)	0	0	50		0	0	50	
현금배당수익률	0.00	0.00	0.77					
현금배당성향(%)	0.00	0.00	12.13		0.00	0.00	-88.89	
발행주식수(보통주)	16,000,000	16,000,000	18,898,551		16,000,000	16,000,000	18,898,551	
