	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	264	191	355		113	90	95	
영업이익	-75	-74	-19		-1	-1	-8	
영업이익(발표기준)	-75	-74	-19		-1	-1	-8	
세전계속사업이익	-96	-80	0		-3	10	-7	
당기순이익	-95	-80	0		-3	10	-7	
당기순이익(지배)	-95	-80	0		-3	10	-7	
당기순이익(비지배)								
자산총계	457	464	411		489	411	405	
부채총계	231	309	219		299	219	219	
자본총계	225	155	192		190	192	185	
자본총계(지배)	225	155	192		190	192	185	
자본총계(비지배)								
자본금	53	53	77		77	77	77	
영업활동현금흐름	10	-34	-22		-7	2	7	
투자활동현금흐름	-3	-61	76		-19	52	-3	
재무활동현금흐름	22	53	-47		59	-78	-1	
CAPEX	9	58	23		6	2	1	
FCF	1	-92	-45		-13	0	7	
이자발생부채	196	242	153		215	153	153	
영업이익률	-28.53	-38.69	-5.25		-1.07	-0.71	-8.32	
순이익률	-35.96	-41.66	-0.10		-2.27	10.92	-7.31	
ROE(%)	-36.26	-41.92	-0.21		-21.24	-0.21	6.04	
ROA(%)	-18.87	-17.32	-0.08		-8.19	-0.08	2.26	
부채비율	102.64	199.41	114.18		157.16	114.18	118.36	
자본유보율	366.09	232.26	175.56		173.05	175.56	153.44	
EPS(원)	-785	-640	-3		-18	64	-45	
PER(배)	N/A	N/A	N/A		N/A	N/A	12.98	
BPS(원)	1,846	1,271	1,265		1,254	1,265	1,222	
PBR(배)	2.25	1.27	1.07		0.97	1.07	0.73	
현금DPS(원)	0	0						
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00		
발행주식수(보통주)	12,455,232	12,455,232	15,411,517		15,411,517	15,411,517	15,411,517	
