	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	349	483	494		168	161	81	
영업이익	-4	13	10		22	1	-3	
영업이익(발표기준)	-4	13	10		22	1	-3	
세전계속사업이익	-15	10	6		23	-4	-3	
당기순이익	-17	9	5		23	-4	-3	
당기순이익(지배)	-17	9	5		23	-4	-3	
당기순이익(비지배)	0							
자산총계	479	600	591		571	591	544	
부채총계	296	259	246		224	246	205	
자본총계	183	341	345		347	345	339	
자본총계(지배)	183	341	345		347	345	339	
자본총계(비지배)	0							
자본금	76	136	136		136	136	136	
영업활동현금흐름	20	-5	39		5	29	4	
투자활동현금흐름	-32	-81	27		-1	7	2	
재무활동현금흐름	-18	118	-11		-8	-6	0	
CAPEX	2	1	2		0	0	0	
FCF	18	-7	36		5	29	4	
이자발생부채	159	130	121		127	121	120	
영업이익률	-1.04	2.61	1.97		13.21	0.65	-3.46	
순이익률	-4.83	1.91	1.08		13.70	-2.38	-4.06	
ROE(%)	-8.88	3.50	1.58		9.50	1.60	2.90	
ROA(%)	-3.55	1.70	0.90		5.56	0.91	1.73	
부채비율	161.45	75.91	71.51		64.62	71.51	60.64	
자본유보율	171.95	168.06	170.73		171.92	170.73	166.47	
EPS(원)	-93	45	20		84	-13	-12	
PER(배)	N/A	30.74	75.55		11.21	74.85	40.14	
BPS(원)	1,062	1,290	1,303		1,311	1,303	1,282	
PBR(배)	2.02	1.08	1.15		0.99	1.15	1.12	
현금DPS(원)	0							
현금배당수익률	0.00							
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00		
발행주식수(보통주)	18,101,639	27,275,020	27,275,020		27,275,020	27,275,020	27,275,020	
