	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	34	42	63		9	7	16	
영업이익	0	-9	-35		-9	-9	-7	
영업이익(발표기준)	0	-9	-35		-9	-9	-7	
세전계속사업이익	0	-12	-91		-19	-18	-45	
당기순이익	0	-10	-84		-18	-18	-35	
당기순이익(지배)	0	-10	-82		-18	-18	-35	
당기순이익(비지배)								
자산총계	111	310	862		279	266	545	
부채총계	17	204	602		180	184	454	
자본총계	94	106	259		99	82	91	
자본총계(지배)	94	106	96		99	82	91	
자본총계(비지배)								
자본금	16	47	50		49	49	50	
영업활동현금흐름	-10	2	-30		-8	-6	-8	
투자활동현금흐름	10	-145	-213		3	3	-319	
재무활동현금흐름	-10	199	269		-10	-3	312	
CAPEX	0	1	2		0	2	0	
FCF	-10	2	-32		-9	-8	-8	
이자발생부채	10	187	431		168	174	444	
영업이익률	0.36	-20.44	-55.38		-92.97	-135.18	-45.45	
순이익률	0.47	-22.98	-132.69		-190.18	-259.66	-216.32	
ROE(%)	0.17	-9.64			-36.04	-55.77	-88.09	
ROA(%)	0.13	-4.58			-15.93	-22.56	-20.31	
부채비율	17.97	192.43	232.19		181.03	223.72	498.14	
자본유보율	499.18	125.94	85.34		100.03	63.24	75.68	
EPS(원)	2	-103	-847		-188	-184	-353	
PER(배)	3,729.19	N/A	N/A		N/A	N/A	N/A	
BPS(원)	999	1,130	955		1,013	837	906	
PBR(배)	6.24	4.74	5.07		6.02	5.78	5.34	
현금DPS(원)	0	0			0	0		
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	9,381,540	9,381,540	10,046,564		9,805,987	9,805,987	10,046,564	
