	2016/12	2017/12	2018/12	2019/12	2019/03	2019/06	2019/09	2019/12
매출액	184	142	98		12	10	10	
영업이익	-37	-61	-157		-20	-20	-28	
영업이익(발표기준)	-37	-61	-157		-20	-20	-28	
세전계속사업이익	-46	-116	-293		-31	-27	-60	
당기순이익	-35	-130	-295		-32	-26	-61	
당기순이익(지배)	-35	-130	-295		-32	-26	-61	
당기순이익(비지배)								
자산총계	858	895	672		716	775	709	
부채총계	411	434	359		355	411	406	
자본총계	447	461	314		361	364	304	
자본총계(지배)	447	461	314		361	364	304	
자본총계(비지배)								
자본금	134	162	227		254	264	264	
영업활동현금흐름	20	-48	-124		-26	-31	-11	
투자활동현금흐름	-433	-81	182		-7	6	14	
재무활동현금흐름	423	156	-44		76	87	-6	
CAPEX	421	2	18		7	0	0	
FCF	-402	-50	-141		-33	-31	-11	
이자발생부채	365	385	303		310	372	371	
영업이익률	-20.27	-43.09	-159.47		-168.88	-204.16	-280.45	
순이익률	-18.91	-91.55	-300.40		-265.61	-275.05	-608.74	
ROE(%)	-9.49	-28.52	-76.10		-67.57	-64.93	-76.46	
ROA(%)	-5.22	-14.78	-37.63		-35.17	-30.88	-35.29	
부채비율	91.85	94.07	114.30		98.19	112.86	133.47	
자본유보율	218.24	171.67	39.19		43.40	39.09	16.06	
EPS(원)	-163	-442	-749		-68	-50	-115	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	1,687	1,433	694		715	692	578	
PBR(배)	2.51	1.43	1.87		2.94	2.19	1.32	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	26,744,499	32,429,369	45,444,407		50,761,865	52,799,600	52,799,600	
