	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	224	414	1,062		201	178	145	
영업이익	-103	-94	-47		-27	-22	-55	
영업이익(발표기준)	-103	-94	-47		-27	-22	-55	
세전계속사업이익	-167	-22	-38		-22	-34	-35	
당기순이익	-167	-18	-38		-22	-34	-35	
당기순이익(지배)	-165	-12	-35		-22	-33	-34	
당기순이익(비지배)	-2							
자산총계	988	1,658	1,501		1,614	1,548	1,501	
부채총계	580	1,276	1,154		1,143	1,108	1,154	
자본총계	408	382	347		472	440	347	
자본총계(지배)	393	373	340		463	431	340	
자본총계(비지배)	14							
자본금	356	388	392		392	392	392	
영업활동현금흐름	-121	-30	19		-21	19	25	
투자활동현금흐름	-268	96	-398		-49	-108	-187	
재무활동현금흐름	353	-6	395		47	83	194	
CAPEX	24	38	21		54	-115	21	
FCF	-144	-68	-2		-74	134	4	
이자발생부채	402	468	399		520	570	399	
영업이익률	-45.90	-22.80	-4.45		-13.55	-12.19	-37.81	
순이익률	-74.59	-4.34	-3.54		-11.06	-18.80	-23.93	
ROE(%)	-42.05	-3.14	-9.88		-13.15	-28.48	-9.88	
ROA(%)	-21.10	-1.36	-2.38		-4.33	-8.33	-2.38	
부채비율	142.35	333.89	333.12		242.12	251.99	333.12	
자본유보율	9.55	-4.74	-13.05		17.25	9.02	-13.05	
EPS(원)	-279	-17	-45		-28	-42	-44	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	553	481	434		591	551	434	
PBR(배)	1.54	1.12	1.14		0.84	0.90	1.14	
현금DPS(원)	0	0						
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	71,138,343	77,546,852	78,353,304		78,353,304	78,353,304	78,353,304	
