	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	209	199	174		38	49	86	
영업이익	5	-16	-22		-6	-5	-3	
영업이익(발표기준)	5	-16	-22		-6	-5	-3	
세전계속사업이익	-115	-56	-18		-6	-3	-2	
당기순이익	-115	-56	-18		-6	-3	-2	
당기순이익(지배)	-115	-56	-18		-6	-3	-2	
당기순이익(비지배)								
자산총계	262	216	195		201	195	196	
부채총계	15	24	18		20	18	21	
자본총계	248	192	177		181	177	175	
자본총계(지배)	248	192	177		181	177	175	
자본총계(비지배)								
자본금	147	147	147		147	147	147	
영업활동현금흐름	-12	-9	-43		-9	-17	-14	
투자활동현금흐름	-83	-1	21		20	2	19	
재무활동현금흐름	108		0		0	0	0	
CAPEX		0	0			0	0	
FCF	-12	-9	-43		-9	-17	-14	
이자발생부채	0	0	0		0	0	1	
영업이익률	2.30	-7.90	-12.41		-16.27	-11.00	-2.94	
순이익률	-54.77	-27.97	-10.22		-14.86	-6.93	-2.58	
ROE(%)	-45.51	-25.32	-9.64		-29.68	-9.64	-9.25	
ROA(%)	-42.42	-23.27	-8.67		-27.22	-8.67	-8.38	
부채비율	6.04	12.37	10.00		11.30	10.00	12.15	
자본유보율	81.75	44.20	31.58		34.35	31.58	30.45	
EPS(원)	-417	-189	-60		-19	-11	-8	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	841	652	601		613	601	594	
PBR(배)	6.47	7.29	7.82		7.21	7.82	4.29	
현금DPS(원)	0	0	0		0	0		
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00			0.00			
발행주식수(보통주)	29,439,113	29,439,113	29,439,113		29,439,113	29,439,113	29,439,113	
