	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	768	918	1,025		261	270	267	
영업이익	-32	6	11		4	14	-3	
영업이익(발표기준)	-32	6	11		4	14	-3	
세전계속사업이익	-63	-47	26		-13	22	8	
당기순이익	-61	-75	14		-17	19	2	
당기순이익(지배)	-61	-75	14		-17	19	2	
당기순이익(비지배)	0							
자산총계	1,234	1,092	1,369		1,065	1,077	1,369	
부채총계	867	759	709		764	757	709	
자본총계	366	333	659		301	320	659	
자본총계(지배)	368	335	661		303	322	661	
자본총계(비지배)	-2							
자본금	203	208	208		208	208	208	
영업활동현금흐름	-25	74	43		15	11	29	
투자활동현금흐름	86	23	-85		-7	2	-95	
재무활동현금흐름	-68	-95	324		-16	-16	353	
CAPEX	12	11	8		1	2	3	
FCF	-37	63	35		14	9	25	
이자발생부채	668	531	516		547	524	516	
영업이익률	-4.12	0.63	1.12		1.71	5.19	-1.10	
순이익률	-7.92	-8.20	1.41		-6.44	7.02	0.89	
ROE(%)	-17.04	-21.36	2.90		-20.36	-13.64	2.90	
ROA(%)	-4.63	-6.47	1.17		-6.57	-4.57	1.17	
부채비율	236.73	228.16	107.56		253.81	236.66	107.56	
자본유보율	85.26	64.25	56.09		48.98	58.08	56.09	
EPS(원)	-154	-182	35		-40	46	6	
PER(배)	N/A	N/A	140.29		N/A	N/A	140.29	
BPS(원)	911	806	1,592		729	775	1,592	
PBR(배)	9.40	8.32	3.05		7.50	5.41	3.05	
현금DPS(원)	60	60	60		0	0	60	
현금배당수익률	0.70	0.89	1.24					
현금배당성향(%)	-39.91	-33.20	172.88		0.00	0.00	1,066.01	
발행주식수(보통주)	40,547,810	41,667,166	41,667,166		41,667,166	41,667,166	41,667,166	
