	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	1,511	1,465	1,547		402	400	409	
영업이익	136	86	155		51	32	45	
영업이익(발표기준)	136	86	155		51	32	45	
세전계속사업이익	171	95	164		58	29	54	
당기순이익	136	74	135		46	27	41	
당기순이익(지배)	136	74	135		46	27	41	
당기순이익(비지배)								
자산총계	957	978	1,191		1,243	1,191	1,324	
부채총계	123	80	169		255	169	282	
자본총계	833	898	1,021		988	1,021	1,042	
자본총계(지배)	833	898	1,021		988	1,021	1,042	
자본총계(비지배)								
자본금	24	24	24		24	24	24	
영업활동현금흐름	144	133	213		84	-28	150	
투자활동현금흐름	-45	-83	-235		-100	-36	-77	
재무활동현금흐름	-156	-31	-17		-1	4	-16	
CAPEX	162	131	254		101	56	78	
FCF	-18	2	-41		-17	-83	72	
이자발생부채	10	5	11		16	11	13	
영업이익률	8.98	5.90	10.01		12.66	7.93	10.96	
순이익률	8.99	5.03	8.73		11.33	6.80	9.97	
ROE(%)	15.82	8.51	14.07		12.90	14.07	15.42	
ROA(%)	14.01	7.62	12.46		10.53	12.46	12.19	
부채비율	14.79	8.87	16.57		25.82	16.57	27.11	
자본유보율	3,810.29	4,088.32	4,614.07		4,454.76	4,614.07	4,699.69	
EPS(원)	6,204	3,372	6,166		2,081	1,242	1,854	
PER(배)	9.48	12.81	7.23		7.46	7.23	6.05	
BPS(원)	41,557	44,699	50,578		49,152	50,578	51,597	
PBR(배)	1.41	0.97	0.88		0.84	0.88	0.80	
현금DPS(원)	1,000	1,000	1,000		0	1,000		
현금배당수익률	1.70	2.31	2.24					
현금배당성향(%)	14.77	27.27	14.95		0.00	74.20		
발행주식수(보통주)	2,185,180	2,189,904	2,199,268		2,189,904	2,199,268	2,199,268	
