	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	334	282	128		58	93	-63	
영업이익	7	-1	5		2	9	-2	
영업이익(발표기준)	7	-1	5		2	9	-2	
세전계속사업이익	-6	-19	-100		-40	13	-84	
당기순이익	-7	-19	-110		-40	13	-92	
당기순이익(지배)	-13	-29	-110		-43	15	-90	
당기순이익(비지배)	6							
자산총계	297	288	130		352	332	130	
부채총계	137	105	15		157	126	15	
자본총계	159	184	115		195	206	115	
자본총계(지배)	193	207	115		217	230	115	
자본총계(비지배)	-34							
자본금	53	53	65		65	65	65	
영업활동현금흐름	17	-5	-13		28	57	-32	
투자활동현금흐름	-14	-29	14		5	17	0	
재무활동현금흐름	26	-1	44		-15	-19	19	
CAPEX	7	3	1		0	0	0	
FCF	10	-8	-14		28	57	-32	
이자발생부채	61	44	10		55	36	10	
영업이익률	2.20	-0.23	4.28		3.64	9.97	3.13	
순이익률	-2.02	-6.84	-85.85		-68.08	13.77	144.71	
ROE(%)	-6.91	-14.67	-68.50		-26.21	-23.23	-93.98	
ROA(%)	-2.18	-6.59	-52.61		-16.33	-18.37	-73.21	
부채비율	86.22	57.03	13.30		80.68	61.18	13.30	
자본유보율	254.48	226.62	105.36		220.73	243.53	105.36	
EPS(원)	-25	-55	-174		-66	23	-142	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	366	391	178		335	357	178	
PBR(배)	2.34	1.42	3.59		1.90	1.79	3.59	
현금DPS(원)	0							
현금배당수익률	0.00							
현금배당성향(%)	0.00		0.00		0.00	0.00	0.00	
발행주식수(보통주)	52,830,995	52,830,995	64,603,964		64,603,964	64,603,964	64,603,964	
